fwd-ref,rev-ref,fwd-rev,core-ref,reads
52,40,86,22,5
52,40,86,24,1
52,24,40,10,5
52,32,76,18,1
22,8,8,4,23
22,18,18,6,37
52,44,86,22,5
52,38,84,22,1
52,50,96,24,26
52,48,94,24,40
52,28,54,14,29
52,26,52,12,3
22,20,44,8,13
52,30,58,16,1
22,18,42,8,27
22,14,14,6,6
52,52,98,24,12639
52,42,88,22,1
52,46,92,24,2
52,34,76,20,7
52,46,88,24,1
22,6,6,2,1
52,34,80,20,1
48,30,62,16,1
22,22,46,8,9710
44,44,92,18,9
48,52,94,22,20
46,46,96,18,131
48,52,86,24,10
18,24,18,6,4
52,50,92,24,2
52,52,94,24,353
52,52,86,24,19
48,52,86,22,8
20,42,12,6,1
48,48,94,24,8
52,48,90,22,22
45,45,94,17,9
14,14,18,6,4
22,36,26,8,1
44,44,92,16,4
22,18,38,8,6
48,52,94,24,83
52,44,82,22,4
22,10,10,6,3
22,10,12,6,3
43,43,90,18,7
39,39,86,20,2
22,22,42,8,125
24,24,40,10,47
10,10,2,0,6
18,22,18,6,43
52,48,86,22,2
52,10,10,4,5
42,46,96,20,2
52,44,90,22,7
52,40,78,18,2
22,10,10,4,13
20,22,36,6,2
18,18,18,6,18
10,12,4,4,1
25,21,78,8,34
48,48,98,24,41
38,38,92,16,1
48,52,90,22,11
20,20,6,0,20
52,46,76,22,1
52,48,66,24,1
22,20,20,6,57
22,24,46,8,14
48,50,92,22,1
22,10,6,2,3
48,52,90,24,19
50,52,92,24,3
52,28,34,16,1
52,48,94,22,48
48,52,82,24,6
22,10,8,6,1
22,22,42,10,2
22,16,20,4,2
52,52,82,24,14
22,12,12,6,8
18,22,14,4,8
25,22,32,8,7
52,44,82,20,1
48,48,90,22,5
52,52,90,24,92
26,26,96,10,1
48,48,98,20,41
23,22,32,8,27
44,44,96,24,14
46,46,100,18,56
52,36,74,20,1
50,52,84,24,2
52,48,86,24,6
26,22,34,10,2
52,46,88,22,1
52,34,72,20,5
52,42,88,24,14
44,44,96,22,1
22,22,32,8,83
34,34,88,10,3
41,41,90,14,4
22,12,10,6,1
45,45,90,18,1
52,44,90,20,2
52,44,90,24,4
20,20,44,8,1
16,22,36,8,1
50,50,96,24,6
21,28,28,6,1
20,22,16,6,3
50,52,96,24,13
20,22,44,8,7
24,24,36,8,1
46,46,100,20,19
27,27,72,10,1
42,42,92,14,7
27,27,70,12,1
44,52,90,22,8
22,14,6,6,1
37,37,90,12,1
41,41,90,16,3
45,45,94,18,11
40,40,58,14,1
22,24,42,8,5
44,52,86,20,2
48,48,90,24,2
46,46,92,18,2
52,12,12,4,1
48,50,92,24,1
26,22,16,6,1
52,32,54,16,1
52,34,74,20,3
52,48,78,24,3
12,12,6,6,1
44,44,96,16,11
14,16,6,6,1
44,52,86,22,3
52,48,74,22,2
48,48,86,22,6
18,18,6,0,1
26,26,52,12,7
12,10,6,4,2
20,20,20,6,3
29,29,74,12,1
52,42,76,22,1
10,10,4,4,11
46,46,84,18,1
44,52,90,24,7
48,50,88,24,1
22,20,24,6,1
22,22,38,8,19
42,42,88,14,1
10,12,10,2,1
43,43,94,18,2
41,41,90,13,3
22,18,12,4,1
27,43,54,16,1
42,42,100,18,1
10,13,6,4,1
44,52,82,24,3
52,52,74,24,2
26,22,32,8,1
25,23,78,10,1
45,43,100,18,6
41,39,100,14,4
16,10,10,4,1
39,35,78,10,1
26,24,48,10,1
52,52,66,24,1
22,20,36,6,2
18,22,18,4,2
52,28,42,16,2
40,50,64,20,1
52,16,14,8,2
20,22,18,6,1
48,42,72,24,1
22,14,10,6,1
32,32,68,18,1
20,22,34,6,1
40,40,88,14,1
14,14,46,6,1
48,48,98,22,5
52,34,36,16,1
22,22,34,8,1
46,46,92,24,2
38,38,94,10,2
12,10,4,4,1
31,24,62,10,1
40,52,86,22,1
43,43,90,15,4
26,26,66,12,3
30,30,80,10,1
52,40,78,22,2
52,52,78,24,5
46,52,76,24,1
22,18,34,8,2
26,22,42,10,5
24,44,54,10,1
52,28,58,18,1
52,36,82,22,6
27,27,74,10,1
52,44,74,24,1
10,16,6,6,1
34,34,86,12,1
33,33,82,12,2
22,16,28,6,1
37,37,94,10,1
48,28,50,16,1
29,24,34,10,2
52,40,78,20,2
12,12,12,4,2
40,40,88,12,3
39,39,86,16,2
48,44,86,22,2
22,16,16,6,6
52,48,82,24,3
43,43,94,16,4
52,48,90,24,15
28,22,28,6,1
41,41,94,17,1
22,14,20,6,1
36,22,26,6,1
52,18,32,20,1
12,12,36,8,1
35,35,96,14,1
26,23,82,8,1
41,45,90,17,1
52,8,8,4,1
10,14,26,8,1
21,20,20,6,4
44,52,58,22,1
12,10,8,4,3
43,43,94,15,7
14,10,4,4,4
52,12,10,4,2
14,10,8,4,2
22,24,38,8,2
50,48,92,22,1
34,34,80,14,3
52,44,82,24,1
16,10,6,4,1
45,43,92,18,1
22,14,8,6,1
10,12,8,4,1
43,43,90,16,3
42,46,92,18,2
26,22,38,10,2
52,40,66,22,3
26,26,72,10,1
52,36,70,24,1
22,14,18,4,1
22,14,6,4,1
52,12,8,4,3
26,22,46,8,2
14,10,6,4,1
14,22,8,4,2
44,26,74,20,1
