Fwd-Ref (max=52),Rev-Ref (max=52),Fwd-Rev (max=98),Core-Ref (max=30),reads
22,20,8,4,1
52,34,78,22,1
20,20,18,10,1
46,46,96,26,1
22,20,40,12,1
52,48,58,30,1
38,38,88,16,2
22,20,38,10,2
44,52,82,26,1
44,48,94,30,1
40,40,90,24,1
44,52,66,26,1
22,12,10,6,1
12,12,34,6,1
10,10,6,4,1
10,12,6,6,1
52,12,10,10,1
48,48,86,28,5
40,40,92,18,2
18,20,16,6,1
52,32,66,22,1
37,41,90,19,1
10,10,6,6,1
40,52,86,28,2
52,44,86,30,1
52,30,66,18,5
18,24,16,6,1
41,39,88,19,1
48,32,46,22,1
52,52,70,30,2
48,40,70,24,1
52,36,64,22,1
22,20,36,8,1
40,44,70,22,1
52,50,84,30,1
36,36,90,22,1
30,34,22,8,1
36,36,84,18,2
22,16,6,6,1
16,12,54,12,1
48,48,82,30,1
44,52,82,30,1
22,14,8,4,1
14,8,4,4,1
20,26,32,12,1
40,52,78,26,1
42,42,96,24,2
52,12,14,8,1
22,18,34,12,1
52,32,64,22,1
48,40,78,26,2
23,22,28,12,1
52,32,68,20,5
22,12,26,8,1
52,10,8,6,2
48,44,94,24,2
22,26,42,14,2
12,22,8,6,1
22,26,14,6,1
22,22,30,10,1
44,48,70,28,1
52,10,12,6,1
52,16,14,6,1
48,28,68,24,1
39,35,78,18,1
10,17,12,6,1
30,25,92,14,1
22,18,38,12,2
26,22,20,8,1
31,31,78,16,1
52,32,62,24,1
22,16,12,6,1
20,22,16,10,1
48,50,84,30,1
10,22,12,8,1
26,26,92,12,1
52,48,38,28,1
50,52,88,30,2
44,44,98,22,2
36,44,88,20,1
20,26,10,6,1
52,44,78,26,1
22,24,28,10,1
14,12,6,4,1
52,14,12,4,1
35,35,82,18,2
14,14,6,4,1
52,36,62,28,1
48,12,10,4,1
22,48,20,10,1
38,34,84,16,1
37,37,92,23,1
40,48,90,28,1
52,14,8,4,1
22,12,8,8,1
36,36,88,18,1
12,14,10,8,1
52,14,12,10,1
42,46,84,24,1
52,40,48,20,1
12,14,8,4,1
40,38,56,24,1
46,44,80,24,1
52,34,56,26,1
12,12,4,2,1
52,36,62,24,1
16,22,10,8,1
46,44,98,24,1
52,36,66,28,1
46,46,100,28,1
22,16,8,6,2
44,50,80,28,1
52,42,88,30,1
18,24,14,6,1
52,26,22,10,1
52,48,78,30,2
44,22,44,16,1
22,18,14,8,1
50,48,88,30,1
18,20,14,6,1
20,26,32,10,1
10,12,6,4,2
42,42,96,20,1
22,22,102,10,1
22,19,32,8,1
40,40,98,18,1
52,8,6,4,1
41,41,90,24,1
52,36,78,26,2
22,16,20,10,1
34,34,80,22,3
44,48,78,24,1
20,36,16,6,1
22,22,36,10,1
22,16,8,4,1
30,30,66,18,1
25,20,20,10,3
26,20,20,10,1
48,52,70,28,1
30,26,68,16,1
52,50,88,30,1
22,12,6,4,1
12,11,32,8,1
29,29,78,16,1
20,22,6,4,1
44,10,10,8,1
48,44,86,24,1
46,42,92,24,1
48,36,62,22,1
48,44,94,26,1
48,52,50,28,1
36,36,88,20,1
20,20,20,8,1
38,38,96,16,1
32,32,80,14,1
16,22,16,8,1
46,46,100,30,1
10,14,52,10,1
48,52,66,28,1
33,33,78,14,2
35,39,82,16,1
52,38,80,28,1
52,14,16,12,1
52,44,78,28,1
48,52,82,28,1
18,14,6,4,1
52,10,10,6,1
32,32,80,12,1
46,46,88,24,1
52,10,10,10,1
30,30,86,14,1
38,38,94,24,1
30,30,60,20,1
52,42,84,28,1
42,46,88,22,1
40,42,64,26,1
44,18,14,6,1
52,40,82,28,2
28,28,76,12,1
24,22,36,10,1
22,22,28,10,1
39,39,90,18,1
18,28,14,6,1
22,16,16,8,1
48,30,52,18,1
18,22,12,4,1
22,14,22,8,1
41,41,94,19,1
40,40,94,18,1
39,12,10,4,1
22,24,30,10,1
25,21,86,10,1
30,30,80,18,1
46,34,84,22,1
52,20,50,22,1
22,24,42,10,1
42,42,84,22,1
52,20,10,4,1
48,44,74,26,1
20,28,8,4,1
33,37,92,15,1
22,16,6,4,1
52,26,32,22,1
22,26,38,14,1
25,22,84,12,1
52,22,34,14,1
48,44,82,26,1
28,28,82,14,1
22,18,20,8,1
52,12,12,6,1
52,44,66,28,1
52,16,22,10,1
52,10,16,8,1
42,52,32,28,1
48,48,86,30,1
48,48,82,28,1
30,52,76,22,1
40,36,84,18,1
40,40,96,26,1
10,10,10,4,1
52,40,86,24,1
31,31,82,16,1
52,16,14,8,1
52,20,16,14,1
26,26,80,14,1
40,44,88,30,1
39,39,90,17,1
28,32,18,14,1
42,52,72,28,1
24,22,24,6,1
18,20,30,10,1
44,30,62,16,1
50,48,84,28,1
22,32,14,6,1
