type,outcome,reads
alignment scores,0,0
alignment scores,1,0
alignment scores,2,0
alignment scores,3,0
alignment scores,4,0
alignment scores,5,0
alignment scores,6,0
alignment scores,7,0
alignment scores,8,0
alignment scores,9,0
alignment scores,10,0
alignment scores,11,0
alignment scores,12,0
alignment scores,13,0
alignment scores,14,0
alignment scores,15,0
alignment scores,16,0
alignment scores,17,0
alignment scores,18,0
alignment scores,19,0
alignment scores,20,0
alignment scores,21,0
alignment scores,22,0
alignment scores,23,0
alignment scores,24,0
alignment scores,25,0
alignment scores,26,0
alignment scores,27,0
alignment scores,28,0
alignment scores,29,0
alignment scores,30,0
alignment scores,31,0
alignment scores,32,0
alignment scores,33,0
alignment scores,34,0
alignment scores,35,0
alignment scores,36,0
alignment scores,37,0
alignment scores,38,0
alignment scores,39,0
alignment scores,40,0
alignment scores,41,0
alignment scores,42,0
alignment scores,43,1
alignment scores,44,16
alignment scores,45,1
alignment scores,46,6
alignment scores,47,8
alignment scores,48,3
alignment scores,49,8
alignment scores,50,16
alignment scores,51,15
alignment scores,52,11
alignment scores,53,17
alignment scores,54,18
alignment scores,55,9
alignment scores,56,15
alignment scores,57,11
alignment scores,58,52
alignment scores,59,15
alignment scores,60,10
alignment scores,61,135
alignment scores,62,59
alignment scores,63,28
alignment scores,64,9632
alignment scores,65,90
alignment scores,66,35
alignment scores,67,38
alignment scores,68,184
alignment scores,69,18
alignment scores,70,54
alignment scores,71,11
alignment scores,72,20
alignment scores,73,37
alignment scores,74,11
alignment scores,75,4
alignment scores,76,2
alignment scores,77,0
alignment scores,78,9
alignment scores,79,0
alignment scores,80,7
alignment scores,81,1
alignment scores,82,15
alignment scores,83,1
alignment scores,84,11
alignment scores,85,3
alignment scores,86,13
alignment scores,87,2
alignment scores,88,10
alignment scores,89,6
alignment scores,90,9
alignment scores,91,6
alignment scores,92,8
alignment scores,93,1
alignment scores,94,6
alignment scores,95,4
alignment scores,96,13
alignment scores,97,4
alignment scores,98,11
alignment scores,99,5
alignment scores,100,10
alignment scores,101,2
alignment scores,102,40
alignment scores,103,2
alignment scores,104,10
alignment scores,105,6
alignment scores,106,10
alignment scores,107,1
alignment scores,108,26
alignment scores,109,2
alignment scores,110,19
alignment scores,111,17
alignment scores,112,27
alignment scores,113,4
alignment scores,114,33
alignment scores,115,1
alignment scores,116,40
alignment scores,117,6
alignment scores,118,35
alignment scores,119,0
alignment scores,120,264
alignment scores,121,10
alignment scores,122,1
alignment scores,123,3
alignment scores,124,150
alignment scores,125,19
alignment scores,126,5
alignment scores,127,0
alignment scores,128,278
alignment scores,129,38
alignment scores,130,0
alignment scores,131,0
alignment scores,132,13206
lost reads,Poor Alignment,10730
lost reads,Length Mismatch,3535
lost reads,Index Mismatches,0
