type,outcome,reads
alignment scores,0,0
alignment scores,1,0
alignment scores,2,0
alignment scores,3,0
alignment scores,4,0
alignment scores,5,0
alignment scores,6,0
alignment scores,7,0
alignment scores,8,0
alignment scores,9,0
alignment scores,10,0
alignment scores,11,0
alignment scores,12,0
alignment scores,13,0
alignment scores,14,0
alignment scores,15,0
alignment scores,16,0
alignment scores,17,0
alignment scores,18,0
alignment scores,19,0
alignment scores,20,0
alignment scores,21,0
alignment scores,22,0
alignment scores,23,0
alignment scores,24,0
alignment scores,25,0
alignment scores,26,0
alignment scores,27,0
alignment scores,28,0
alignment scores,29,0
alignment scores,30,0
alignment scores,31,0
alignment scores,32,0
alignment scores,33,0
alignment scores,34,0
alignment scores,35,0
alignment scores,36,0
alignment scores,37,0
alignment scores,38,0
alignment scores,39,0
alignment scores,40,0
alignment scores,41,1
alignment scores,42,0
alignment scores,43,0
alignment scores,44,40
alignment scores,45,0
alignment scores,46,24
alignment scores,47,3
alignment scores,48,7
alignment scores,49,4
alignment scores,50,21
alignment scores,51,21
alignment scores,52,14
alignment scores,53,20
alignment scores,54,19
alignment scores,55,16
alignment scores,56,5
alignment scores,57,5
alignment scores,58,48
alignment scores,59,15
alignment scores,60,22
alignment scores,61,178
alignment scores,62,34
alignment scores,63,32
alignment scores,64,9181
alignment scores,65,34
alignment scores,66,28
alignment scores,67,93
alignment scores,68,61
alignment scores,69,4
alignment scores,70,23
alignment scores,71,6
alignment scores,72,14
alignment scores,73,28
alignment scores,74,11
alignment scores,75,1
alignment scores,76,6
alignment scores,77,1
alignment scores,78,3
alignment scores,79,0
alignment scores,80,5
alignment scores,81,2
alignment scores,82,10
alignment scores,83,1
alignment scores,84,14
alignment scores,85,0
alignment scores,86,8
alignment scores,87,2
alignment scores,88,11
alignment scores,89,1
alignment scores,90,15
alignment scores,91,5
alignment scores,92,10
alignment scores,93,7
alignment scores,94,17
alignment scores,95,4
alignment scores,96,27
alignment scores,97,4
alignment scores,98,15
alignment scores,99,13
alignment scores,100,18
alignment scores,101,5
alignment scores,102,17
alignment scores,103,2
alignment scores,104,21
alignment scores,105,25
alignment scores,106,7
alignment scores,107,0
alignment scores,108,38
alignment scores,109,3
alignment scores,110,19
alignment scores,111,17
alignment scores,112,37
alignment scores,113,6
alignment scores,114,53
alignment scores,115,1
alignment scores,116,65
alignment scores,117,19
alignment scores,118,57
alignment scores,119,2
alignment scores,120,356
alignment scores,121,2
alignment scores,122,0
alignment scores,123,2
alignment scores,124,211
alignment scores,125,7
alignment scores,126,11
alignment scores,127,0
alignment scores,128,405
alignment scores,129,35
alignment scores,130,0
alignment scores,131,0
alignment scores,132,13365
lost reads,Poor Alignment,10181
lost reads,Length Mismatch,4625
lost reads,Index Mismatches,0
