Fwd-Ref (max=52),Rev-Ref (max=52),Fwd-Rev (max=98),Core-Ref (max=30),reads
50,48,92,28,2
48,48,98,28,9
22,32,18,8,1
48,44,90,26,1
52,12,15,6,1
22,10,10,6,2
22,12,8,6,1
52,12,10,4,4
18,22,38,10,1
16,16,12,10,1
44,48,86,26,2
29,29,70,18,2
29,29,74,12,1
52,8,8,4,1
19,22,36,8,1
20,18,16,10,2
41,41,90,20,3
28,28,72,14,2
26,26,52,14,1
52,40,54,26,1
52,44,66,30,1
45,37,82,21,1
33,33,92,12,2
48,48,86,28,6
26,22,32,12,1
35,35,62,18,1
43,43,90,21,4
43,43,90,22,2
38,38,84,26,3
22,16,28,8,1
48,48,82,26,2
44,52,90,28,9
25,25,82,12,1
52,10,12,4,1
31,31,74,16,1
42,42,88,22,2
18,22,38,12,2
52,44,90,26,6
50,50,96,30,2
36,36,80,22,1
52,17,22,16,1
22,16,28,10,1
46,42,92,22,1
52,30,62,16,4
36,52,82,26,1
27,27,70,16,2
48,52,78,30,3
16,10,6,4,1
48,52,86,30,8
52,20,22,14,1
52,44,78,26,2
44,48,78,26,3
52,30,56,16,1
48,30,66,16,1
46,44,76,26,1
46,12,12,4,1
24,24,34,14,4
44,48,90,30,1
52,12,8,4,1
44,52,86,30,1
52,52,74,30,2
16,20,16,10,1
40,40,84,28,1
19,22,36,10,1
52,48,86,30,7
48,44,86,24,1
22,10,8,6,2
25,23,78,13,1
12,11,8,8,1
22,24,46,12,6
18,22,18,8,3
52,10,12,6,1
24,20,12,4,1
52,36,78,24,1
52,10,8,8,1
52,44,82,28,1
35,35,86,14,1
44,44,98,30,1
40,48,70,26,1
52,12,18,18,1
33,33,88,20,1
48,48,86,30,1
14,18,8,4,1
52,40,70,24,2
52,32,62,24,1
42,48,56,24,1
22,18,10,6,1
44,52,82,26,1
39,39,90,18,3
18,24,18,6,1
18,20,6,4,3
48,48,94,30,10
52,40,82,24,3
46,10,12,4,1
52,40,62,26,1
52,28,50,20,1
42,52,84,26,1
44,48,86,28,1
36,52,70,24,1
30,30,76,14,1
28,28,100,14,1
48,44,94,26,2
18,18,6,4,2
39,39,86,18,2
22,12,6,4,1
22,22,42,14,2
46,52,84,28,2
22,16,14,6,1
22,16,16,8,2
42,42,88,30,2
28,20,20,10,1
52,40,86,26,1
22,13,8,6,1
50,48,92,30,1
46,46,88,24,1
20,8,8,4,1
36,30,40,12,1
22,28,46,12,1
12,12,6,6,2
38,38,88,22,2
52,46,88,28,1
34,34,80,16,2
40,28,30,14,1
28,28,54,16,1
32,32,76,14,1
10,12,8,4,1
40,52,86,24,1
35,35,82,14,2
52,18,12,6,1
22,8,8,4,6
14,22,6,4,1
16,22,16,10,3
40,40,70,18,1
52,12,10,8,1
38,38,94,24,1
14,10,6,4,1
52,10,12,8,1
39,39,86,24,2
46,52,88,30,2
18,24,8,4,1
16,18,12,6,1
30,30,66,18,2
52,10,14,6,1
52,30,52,22,1
39,39,86,22,2
52,48,74,30,2
22,22,28,12,1
50,52,92,30,4
52,38,82,20,7
22,10,10,8,1
46,42,96,22,1
40,52,74,24,1
26,22,46,12,1
44,22,30,16,1
46,52,92,28,1
52,48,82,28,3
43,31,78,15,1
41,41,90,19,2
52,14,10,4,2
52,12,12,8,1
10,12,6,4,2
25,21,70,13,1
22,14,14,6,2
48,48,90,30,2
12,10,12,4,1
52,14,16,6,2
26,22,42,14,2
39,39,90,20,1
44,52,86,28,2
22,22,28,10,1
44,52,82,28,1
48,52,82,30,2
42,42,84,22,1
22,14,24,8,1
28,28,48,18,1
48,48,74,28,1
25,21,74,11,2
22,12,4,4,1
24,22,38,10,1
44,48,82,28,1
44,38,80,28,1
52,44,58,28,1
40,40,98,26,1
14,12,8,4,2
20,18,16,8,1
46,20,48,16,1
52,26,50,12,5
22,12,10,6,4
22,10,12,8,1
52,28,62,22,1
44,40,82,26,1
31,31,74,14,1
18,22,14,6,3
46,52,92,30,2
32,32,94,10,2
52,48,78,28,3
36,52,70,26,1
38,46,92,24,1
48,10,14,8,1
37,37,86,16,2
52,10,6,4,1
33,33,82,16,1
22,12,8,4,2
44,40,66,24,1
52,16,14,8,1
21,16,16,8,1
22,16,16,10,2
41,37,90,18,1
22,14,6,4,2
52,18,14,8,1
46,42,92,24,4
36,36,86,20,1
37,37,86,20,1
41,45,82,23,1
52,10,8,6,1
33,33,78,20,1
22,14,8,6,1
52,40,42,24,1
48,52,82,28,4
22,22,42,10,2
37,37,86,18,1
10,10,6,4,1
36,44,54,22,1
36,40,82,24,1
37,43,84,19,1
38,38,84,18,1
35,35,82,18,1
48,48,94,26,2
45,41,90,23,1
37,37,92,23,1
36,52,78,28,1
26,26,80,14,1
52,28,54,14,4
22,16,20,6,1
52,23,33,26,1
52,18,18,10,1
52,12,12,6,2
52,14,12,6,1
42,10,14,8,1
14,14,18,8,1
22,16,10,6,3
48,44,82,26,2
52,32,74,24,1
52,12,12,10,1
42,46,80,24,1
48,46,64,28,1
12,26,6,4,1
48,40,82,22,1
38,38,88,16,5
40,52,86,28,2
22,14,6,6,1
12,15,8,4,1
12,14,11,8,1
29,29,78,12,1
52,46,92,26,1
52,28,54,20,1
48,52,78,28,1
37,37,86,24,2
30,30,80,18,2
22,24,10,6,1
40,40,96,22,1
40,40,94,18,2
12,12,6,2,1
26,26,66,14,3
44,46,80,26,1
37,37,90,15,1
42,42,96,24,1
52,40,74,24,1
36,48,62,26,1
22,18,38,12,1
42,46,92,24,2
12,12,10,4,3
42,46,84,22,1
44,52,86,26,3
40,40,96,26,1
40,48,78,24,1
48,30,60,16,1
52,40,58,28,1
35,35,82,21,1
48,44,82,28,2
29,29,98,14,1
52,24,38,22,1
52,44,70,26,1
40,40,62,26,1
44,48,74,24,1
39,39,92,17,2
30,30,72,18,1
22,18,34,12,1
42,46,90,22,1
52,24,44,18,1
38,38,92,20,1
44,44,82,24,1
20,24,36,10,1
40,40,98,18,2
36,48,62,24,1
43,43,94,22,1
26,20,20,10,2
36,36,84,14,2
18,18,10,4,1
44,44,66,24,1
22,18,12,6,1
52,22,56,24,1
52,40,16,8,1
52,18,19,16,1
44,48,74,26,1
52,36,46,24,1
46,46,100,26,2
52,52,66,30,1
14,52,10,4,1
18,22,32,8,1
33,38,82,13,1
22,14,8,4,1
22,20,28,10,1
24,12,36,8,1
35,35,88,19,1
42,52,88,28,1
22,20,16,8,1
52,34,56,24,1
46,46,100,30,1
46,44,60,24,1
52,10,6,6,1
30,26,72,12,1
22,24,38,12,1
46,38,88,18,1
52,30,64,24,1
32,32,68,20,1
36,48,86,22,1
52,30,48,18,1
29,29,84,10,1
52,12,12,4,1
48,40,74,22,2
12,8,6,4,1
33,33,78,16,1
52,12,14,4,1
20,18,6,4,1
40,40,92,18,1
44,44,98,28,1
52,26,54,14,1
20,20,44,12,1
22,24,12,6,1
22,6,6,4,1
52,18,26,16,1
20,24,18,6,1
22,52,20,10,1
14,12,8,8,1
25,25,64,13,1
52,16,13,6,1
52,12,6,4,1
20,22,40,12,1
35,35,86,20,1
42,42,88,20,1
52,18,14,10,1
42,42,68,22,1
48,40,82,24,1
22,20,8,4,1
22,20,17,8,1
22,16,26,6,1
31,31,74,18,1
52,12,8,6,1
52,20,42,20,1
52,29,35,28,1
52,32,70,20,1
52,26,62,18,1
46,52,88,28,1
36,36,92,16,1
35,31,78,16,1
38,30,84,22,1
52,40,66,24,1
52,42,84,22,1
16,22,16,8,1
48,42,84,22,1
52,24,34,16,1
30,24,62,14,1
12,22,12,4,1
29,29,76,16,1
13,17,6,4,1
32,32,84,14,1
42,38,88,22,1
52,30,54,16,1
48,18,16,10,1
46,24,18,16,1
52,10,10,10,1
52,40,86,20,1
18,22,30,12,1
37,37,90,16,1
22,12,12,4,1
45,45,102,24,1
18,22,18,10,1
48,44,90,28,1
52,34,74,20,2
22,20,30,12,1
26,24,48,14,1
52,40,74,28,1
14,14,16,6,1
39,39,94,17,1
24,20,20,8,1
31,31,78,16,1
16,22,32,12,1
34,52,56,26,1
39,39,90,17,1
40,52,66,28,1
52,52,70,30,1
32,32,78,19,1
52,32,50,26,1
34,34,90,16,1
22,20,32,8,1
52,18,12,4,1
35,35,82,16,4
52,40,78,26,1
21,10,10,4,1
52,12,14,8,1
36,40,84,18,1
39,41,92,19,1
52,18,28,16,1
48,48,82,30,1
52,50,92,30,1
31,31,84,12,2
44,44,90,24,1
24,21,68,12,1
