Fwd-Ref (max=52),Rev-Ref (max=52),Fwd-Rev (max=98),Core-Ref (max=30),reads
22,8,8,8,54
22,16,16,6,6
52,46,92,30,15
52,32,68,20,9
52,10,18,6,1
52,36,80,24,4
52,38,82,26,1
52,24,40,12,16
52,30,58,18,1
22,18,18,6,33
52,22,28,12,1
52,34,78,22,5
52,28,54,16,2
52,40,86,28,6
48,42,84,30,1
52,32,64,20,2
22,10,10,4,7
52,42,88,30,1
22,8,8,6,1
34,28,54,16,1
52,26,52,14,2
22,10,10,10,1
36,20,20,8,1
52,22,28,14,1
44,24,36,12,1
22,14,14,4,1
38,28,54,16,1
52,32,66,24,1
46,24,40,12,1
52,32,62,20,1
48,30,58,18,1
44,24,66,12,1
52,26,52,12,6
52,52,98,30,12914
52,30,68,16,4
22,22,46,12,9126
22,12,12,6,7
20,22,20,10,43
22,20,20,10,65
52,50,96,30,10
44,44,96,30,26
48,52,90,30,17
52,52,94,30,311
48,52,94,30,70
45,45,94,23,41
52,48,94,30,24
22,20,44,12,8
38,38,92,22,1
22,18,42,12,8
12,14,8,4,2
31,31,80,12,1
46,46,96,24,188
48,48,98,26,73
44,44,92,22,16
13,12,8,4,1
52,52,86,30,17
52,48,90,30,10
52,52,90,30,61
20,20,20,10,8
38,38,92,16,4
16,24,8,4,1
12,12,8,4,3
48,52,90,28,31
22,18,42,10,40
52,18,18,8,1
22,22,42,12,80
23,22,32,12,37
52,44,90,28,4
52,28,58,26,1
22,22,38,12,5
48,52,94,28,94
25,23,60,11,1
42,46,92,22,1
22,19,11,8,1
46,46,100,24,112
40,52,74,26,1
52,48,86,28,11
18,22,16,6,3
52,48,94,28,90
48,48,90,26,10
42,42,96,20,5
22,18,34,10,1
52,12,10,6,2
52,32,72,18,4
20,20,6,4,22
22,12,13,10,1
12,12,8,2,4
22,10,6,4,3
48,52,74,28,1
48,48,98,30,35
16,12,8,6,1
52,48,90,28,22
22,18,8,4,2
43,43,94,21,16
41,41,94,19,4
46,48,88,28,1
18,20,16,8,1
52,44,78,28,2
52,44,90,24,6
44,44,98,22,1
44,44,96,22,28
52,28,58,22,1
20,22,6,4,2
50,52,96,30,10
22,22,32,12,89
45,37,86,19,1
46,46,92,24,6
22,20,36,10,6
41,41,102,20,1
22,18,38,10,3
12,12,8,6,46
42,40,72,24,1
44,48,82,24,1
52,38,84,20,1
52,32,54,24,1
48,48,90,28,11
42,42,92,20,11
44,52,90,26,2
24,24,40,12,11
22,24,42,12,6
46,38,92,22,1
21,20,20,10,10
52,44,86,28,7
12,12,6,4,3
16,18,12,4,1
52,44,82,26,3
44,52,78,30,1
25,21,78,11,22
25,22,32,12,5
39,39,86,20,1
52,44,86,26,4
37,37,82,20,2
44,44,96,26,4
44,52,78,26,1
22,14,26,10,1
52,30,60,16,6
22,18,18,10,1
48,44,94,28,3
52,30,70,16,1
52,42,88,22,16
52,30,64,16,6
52,16,24,14,1
18,22,12,6,1
12,10,6,4,4
36,32,86,14,1
25,20,20,10,7
52,18,14,14,1
48,48,86,26,10
52,40,82,26,1
18,22,18,6,49
18,18,18,6,21
41,45,86,23,1
46,46,92,30,5
35,30,60,20,1
36,36,84,18,4
52,32,44,20,1
44,44,90,30,1
21,21,92,10,1
48,52,86,28,11
38,38,88,18,1
52,52,82,30,4
45,45,102,23,4
40,40,92,26,1
52,30,48,22,1
52,48,82,30,3
52,22,16,8,1
34,26,64,16,1
52,34,50,22,1
40,52,82,26,1
