fwd-ref,rev-ref,fwd-rev,core-ref,reads
22,8,8,4,60
22,16,16,6,8
52,46,92,24,16
52,32,68,18,9
52,10,18,6,1
52,36,80,22,4
52,38,82,24,1
52,24,40,10,16
52,30,58,16,1
22,18,18,6,34
52,22,28,10,1
52,34,78,20,5
52,28,54,14,2
52,40,86,24,7
48,42,84,24,1
52,32,64,18,2
22,10,10,2,6
52,42,88,24,1
34,28,54,14,1
52,26,52,12,2
22,10,10,6,2
36,20,20,6,1
52,22,28,12,1
44,24,36,10,1
22,14,14,4,2
38,28,54,14,1
52,32,66,20,1
46,24,40,10,1
52,32,62,18,1
48,30,58,16,1
44,24,66,10,1
52,26,52,10,6
52,52,98,24,12914
52,30,68,14,4
22,22,46,8,9126
22,12,12,6,4
20,22,20,6,43
22,20,20,6,65
52,50,96,24,10
44,44,96,24,26
48,52,90,24,42
52,52,94,24,311
48,52,94,24,139
45,45,94,18,24
52,48,94,24,54
22,20,44,8,8
38,38,92,20,1
22,18,42,8,48
12,14,8,4,2
31,31,80,10,1
46,46,96,18,185
48,48,98,22,14
44,44,92,20,1
13,12,8,2,1
52,52,86,24,17
52,48,90,24,15
52,52,90,24,61
22,16,16,4,2
45,45,94,17,17
20,20,20,6,8
38,38,92,10,1
16,24,8,4,1
48,48,98,20,53
12,12,8,4,3
52,18,18,8,2
22,22,42,8,82
23,22,32,8,37
52,44,90,22,13
52,28,58,20,1
22,22,38,8,5
25,23,60,6,1
42,46,92,18,2
22,19,11,6,1
46,46,100,20,48
40,52,74,22,2
52,48,86,22,9
18,22,16,6,3
52,48,94,22,60
48,48,90,24,6
42,42,96,14,5
22,18,34,8,2
52,12,10,6,2
52,32,72,16,4
48,52,94,22,25
20,20,6,0,22
22,12,13,6,1
12,12,8,2,4
22,10,6,4,3
48,52,74,22,1
46,46,100,18,64
48,48,98,24,50
16,12,8,6,1
22,18,8,4,2
43,43,94,16,7
41,41,94,13,2
46,48,88,22,1
18,20,16,6,1
52,44,78,22,3
48,48,90,22,15
44,44,98,16,1
44,44,96,16,24
52,28,58,16,1
20,22,6,2,1
50,52,96,24,10
22,22,32,8,89
45,37,86,18,1
46,46,92,18,5
22,20,36,6,6
41,41,102,16,1
22,18,38,8,4
12,12,8,6,46
42,40,72,20,1
44,48,82,20,1
52,38,84,18,1
52,32,54,20,1
42,42,92,14,8
44,52,90,22,6
24,24,40,10,11
22,24,42,8,6
46,38,92,16,1
21,20,20,6,10
52,48,90,22,17
52,44,86,22,8
12,12,6,0,2
16,18,12,4,2
52,44,82,22,2
44,52,78,24,2
25,21,78,8,22
25,22,32,8,5
52,48,86,24,9
39,39,86,16,3
37,37,82,16,2
44,44,96,22,4
22,14,26,8,1
52,44,82,20,2
52,30,60,14,6
48,44,94,22,3
52,30,70,14,1
52,42,88,20,16
52,30,64,14,6
52,16,24,14,1
18,22,12,4,1
12,10,6,4,4
43,43,94,15,8
36,32,86,12,1
25,20,20,6,7
52,18,14,14,1
48,48,86,22,11
52,40,82,22,2
18,22,18,6,50
18,18,18,6,21
41,45,86,17,1
46,46,92,24,5
35,30,60,16,1
36,36,84,14,1
52,32,44,14,1
44,44,90,24,1
21,21,92,10,1
48,52,86,22,2
38,38,88,14,4
52,52,82,24,4
45,45,102,18,4
40,40,92,22,1
52,30,48,16,1
52,48,82,24,3
52,22,16,6,1
34,26,64,14,1
52,34,50,16,1
40,52,82,22,1
50,48,92,22,2
44,44,92,18,10
22,32,18,4,1
48,44,90,22,2
52,12,15,6,1
22,12,8,4,2
52,12,10,4,4
18,22,38,8,3
48,48,90,20,2
16,16,12,6,1
44,48,86,22,1
29,29,70,14,2
29,29,74,10,1
36,36,84,16,3
52,8,8,4,1
19,22,36,8,2
20,18,16,6,3
41,41,90,16,3
44,44,96,18,4
28,28,72,10,2
26,26,52,12,1
52,40,54,22,1
52,44,66,24,1
45,37,82,16,1
33,33,92,10,2
26,22,32,8,1
35,35,62,14,1
43,43,90,16,2
43,43,90,18,2
38,38,84,24,3
22,16,28,6,2
48,48,82,22,2
44,52,90,24,5
25,25,82,8,1
52,10,12,4,1
31,31,74,12,1
42,42,88,18,3
50,50,96,24,2
36,36,80,18,1
52,17,22,16,1
46,42,92,16,1
52,30,62,14,4
36,52,82,22,1
27,27,70,12,2
48,52,78,24,4
16,10,6,4,1
48,52,86,24,17
52,20,22,10,1
48,52,90,22,6
44,48,78,22,3
52,30,56,14,1
48,30,66,14,1
46,44,76,20,1
46,12,12,4,1
24,24,34,10,4
44,48,90,24,1
52,12,8,4,1
44,52,86,24,5
52,52,74,24,2
16,20,16,6,1
40,40,84,24,1
22,12,12,4,4
48,44,86,22,1
22,10,8,6,2
25,23,78,10,1
12,11,8,6,1
22,24,46,8,6
18,22,18,4,3
52,10,12,6,1
24,20,12,4,1
52,36,78,20,1
52,10,8,6,2
35,35,86,12,1
44,44,98,24,2
40,48,70,20,1
52,12,18,18,1
33,33,88,20,1
48,48,86,24,4
14,18,8,4,1
52,40,70,20,2
52,32,62,20,1
42,48,56,18,1
22,18,10,4,1
44,52,82,24,1
39,39,90,14,3
18,24,18,6,1
18,20,6,0,3
48,48,94,24,10
52,40,82,20,1
46,10,12,4,1
52,40,62,22,1
52,28,50,20,1
42,52,84,24,1
44,48,86,24,1
36,52,70,18,1
44,44,92,16,5
30,30,76,10,1
28,28,100,12,1
18,18,6,0,2
22,12,6,4,1
22,22,42,10,2
46,52,84,22,1
22,16,14,6,1
42,42,88,24,2
28,20,20,6,1
22,13,8,4,1
50,48,92,24,1
46,46,88,20,1
20,8,8,4,1
36,30,40,10,1
22,28,46,8,1
12,12,6,6,1
38,38,88,18,1
52,46,88,22,1
34,34,80,14,2
22,8,8,6,1
40,28,30,10,1
28,28,54,14,1
32,32,76,10,1
10,12,8,4,1
40,52,86,22,1
35,35,82,10,2
52,18,12,6,1
14,22,6,4,1
16,22,16,6,4
22,10,10,4,3
40,40,70,16,1
52,12,10,8,1
38,38,94,18,1
14,10,6,4,1
52,10,12,8,1
52,44,78,24,1
39,39,86,20,4
46,52,88,24,2
18,24,8,4,1
30,30,66,16,2
52,10,14,6,1
52,30,52,20,1
52,48,74,24,2
22,22,28,8,1
50,52,92,24,4
52,38,82,18,7
46,42,96,18,1
26,22,46,8,1
44,22,30,16,1
46,52,92,24,3
52,48,82,22,3
43,31,78,13,1
41,41,94,14,2
41,41,90,14,2
52,14,10,4,2
52,12,12,6,3
10,12,6,4,2
25,21,70,10,1
12,10,12,4,1
52,14,16,6,2
26,22,42,10,2
39,39,90,18,1
22,22,28,6,1
44,52,82,22,1
48,52,82,24,2
42,42,84,16,1
22,14,24,6,1
48,44,94,20,1
28,28,48,14,1
48,48,74,22,1
25,21,74,8,2
43,43,94,18,2
22,12,4,4,1
24,22,38,8,1
44,48,82,22,1
44,38,80,22,1
52,44,58,22,1
40,40,98,24,1
14,12,8,4,2
46,20,48,16,1
52,26,50,10,5
22,12,10,6,2
22,10,12,6,1
52,28,62,18,1
44,40,82,20,1
31,31,74,10,1
18,22,14,4,3
22,14,14,6,1
32,32,94,8,2
52,48,78,24,1
46,52,84,24,1
36,52,70,22,1
43,43,90,15,2
38,46,92,18,1
48,10,14,6,1
44,48,86,20,1
37,37,86,12,2
52,10,6,4,2
33,33,82,12,1
44,40,66,18,1
52,16,14,8,1
21,16,16,6,1
41,37,90,14,1
22,14,6,4,2
12,12,6,4,2
52,18,14,8,1
52,48,78,22,2
46,42,92,20,4
36,36,86,16,1
37,37,86,16,2
41,45,82,18,1
33,33,78,16,1
22,14,8,6,1
52,40,42,20,1
48,52,82,22,4
10,10,6,4,1
36,44,54,18,1
36,40,82,22,1
37,43,84,15,1
38,38,84,14,1
35,35,82,14,5
48,48,94,20,2
45,41,90,18,1
37,37,92,18,1
36,52,78,24,1
26,26,80,12,1
52,28,54,12,4
22,16,20,4,1
52,23,33,20,1
22,12,10,4,2
52,14,12,6,1
42,10,14,8,1
14,14,18,6,1
22,16,10,6,1
48,44,82,22,2
52,32,74,18,1
42,46,80,18,1
48,46,64,22,1
12,26,6,2,1
42,42,92,18,1
48,40,82,16,1
38,38,88,10,2
40,52,86,24,2
38,38,92,12,3
22,14,6,6,1
12,15,8,4,1
22,16,10,4,2
12,14,11,6,1
29,29,78,10,1
52,28,54,16,1
37,37,86,20,2
30,30,80,16,2
22,24,10,6,1
40,40,96,16,1
38,38,88,20,1
40,40,94,12,2
12,12,6,2,1
26,26,66,12,3
44,46,80,20,1
37,37,90,12,2
42,42,96,18,1
52,40,74,18,1
36,48,62,22,1
46,46,92,20,1
12,12,10,4,3
42,46,84,18,1
52,44,90,20,2
40,40,96,22,1
44,52,86,20,1
40,48,78,20,1
48,30,60,14,1
52,40,58,22,1
35,35,82,17,1
