fwd-ref,rev-ref,fwd-rev,core-ref,reads
22,18,42,8,57
52,24,40,10,19
52,42,88,24,10
22,18,18,6,56
52,48,94,24,113
48,28,54,14,1
22,8,8,4,37
52,32,68,18,3
52,26,52,12,4
52,34,80,20,6
52,44,90,24,10
12,8,6,4,1
52,30,66,16,1
20,8,8,4,1
52,28,54,14,10
12,8,6,6,1
52,36,82,22,6
52,46,92,24,3
52,26,48,12,3
52,26,50,12,2
22,12,12,4,5
45,22,38,8,1
52,30,60,16,2
52,30,64,16,2
52,36,78,22,1
52,32,60,18,1
52,32,66,18,2
41,20,20,6,1
48,22,44,12,1
50,22,38,10,1
52,10,10,4,4
52,28,54,12,10
52,52,98,24,13133
52,30,58,14,5
22,22,46,8,8112
22,10,10,4,6
52,42,88,22,11
48,48,90,24,6
44,44,96,16,32
46,46,96,18,183
39,39,86,20,1
50,52,96,24,12
45,45,94,17,21
20,20,6,0,41
12,10,4,2,217
22,22,32,8,104
26,22,32,8,6
52,52,94,24,357
22,12,8,4,5
12,10,6,4,20
20,22,20,6,60
46,46,100,18,72
22,20,44,8,5
48,52,94,22,32
22,16,16,6,8
23,22,32,8,53
22,18,38,8,6
48,48,86,24,3
22,20,20,6,63
12,10,8,4,9
22,22,42,8,102
48,52,82,24,5
52,50,96,24,12
52,48,94,22,80
26,26,52,12,3
20,16,6,0,3
21,17,74,6,1
44,48,90,20,2
52,52,82,24,7
10,14,10,2,1
52,44,90,20,3
52,44,82,24,2
22,14,14,4,4
52,48,82,24,5
52,48,86,22,6
22,24,34,10,1
42,42,84,18,1
44,48,86,20,2
48,48,98,20,49
52,30,64,14,6
25,8,8,4,1
40,40,92,12,2
48,48,86,20,1
52,10,12,6,1
22,12,4,4,1
43,43,90,18,1
52,52,90,24,62
27,27,70,12,2
44,44,92,18,7
18,18,18,6,10
44,44,96,24,25
18,14,48,12,2
26,24,30,10,1
48,52,90,24,40
22,24,46,8,11
32,32,76,14,13
12,12,36,8,1
52,48,90,24,23
18,22,12,4,2
22,14,8,6,3
50,48,88,22,1
48,44,78,18,1
44,52,90,22,5
48,44,23,22,1
33,33,92,8,4
22,24,38,8,1
46,46,88,18,1
48,52,94,24,187
48,40,78,22,1
52,44,82,22,6
38,42,84,14,1
52,36,80,18,1
22,18,8,4,2
12,10,4,4,8
22,22,38,8,9
14,12,6,4,2
52,10,8,4,2
52,48,90,22,19
24,24,40,10,26
20,20,44,8,3
36,36,80,18,1
48,48,98,24,62
52,16,22,10,1
14,12,26,6,3
19,22,30,6,1
43,43,94,15,9
26,20,20,6,4
12,12,6,4,11
25,21,78,8,39
10,28,11,6,1
48,48,90,22,15
35,35,90,16,1
46,42,92,16,3
52,48,78,24,2
25,22,32,8,10
52,52,70,24,2
52,44,86,20,2
52,52,62,24,1
46,46,100,20,39
52,32,70,16,5
52,30,56,14,3
14,10,10,4,14
39,39,92,12,1
40,40,92,18,2
36,36,84,12,1
52,8,8,4,3
22,16,12,4,1
20,20,20,6,8
21,20,20,6,28
26,28,20,8,1
30,30,80,16,5
37,37,92,10,1
33,21,100,12,1
52,44,90,22,8
22,14,16,4,2
45,45,94,18,15
44,44,78,20,1
52,12,10,4,2
24,32,68,12,1
36,40,82,20,1
52,48,86,24,5
22,24,42,8,5
39,39,86,15,1
44,44,98,16,5
25,20,20,6,9
37,37,88,10,3
44,44,96,18,4
20,22,6,0,6
29,29,76,12,1
34,34,24,6,2
48,52,86,24,11
34,34,80,20,3
50,50,92,24,1
48,36,74,22,1
52,40,78,22,2
44,44,96,22,2
14,12,8,6,2
18,22,18,6,35
42,46,92,18,5
20,22,18,6,1
52,26,50,14,1
12,12,6,6,3
42,42,88,24,1
22,12,12,6,1
40,52,82,24,1
48,44,90,22,1
52,30,28,18,1
52,34,44,18,1
44,36,54,20,1
52,14,16,4,1
48,48,82,24,3
44,32,58,14,1
14,10,6,4,10
52,34,74,18,7
48,44,82,20,2
44,52,86,22,2
41,41,102,14,1
52,46,92,22,3
14,12,16,6,1
14,11,52,10,1
12,14,8,2,1
52,46,88,24,2
26,26,66,12,1
13,13,84,8,1
46,44,80,24,1
18,24,18,6,2
52,34,72,18,1
26,26,72,10,2
52,14,16,6,1
12,12,6,2,2
26,24,48,10,2
46,46,92,18,6
25,22,60,8,1
39,39,94,12,2
14,10,8,4,4
26,22,92,10,1
16,12,10,6,2
36,32,62,18,1
39,39,86,16,2
48,52,86,22,2
52,46,84,24,1
42,52,80,22,1
26,20,24,6,1
52,44,82,20,3
34,30,76,20,1
22,20,38,8,1
16,10,6,4,17
52,24,14,6,1
12,16,8,4,1
48,48,94,24,11
35,35,82,14,2
26,22,46,8,2
52,36,62,18,1
37,37,86,20,1
52,52,86,24,17
44,52,90,24,11
52,52,78,24,1
46,26,52,12,1
22,18,52,12,1
52,32,20,16,1
22,20,36,6,2
43,43,94,16,9
52,14,10,8,1
46,32,74,14,1
52,10,8,6,1
32,12,8,6,1
12,20,8,2,1
52,44,86,24,3
44,48,86,24,5
48,44,78,20,1
35,35,82,10,3
43,35,74,14,1
39,39,90,14,2
43,43,90,15,2
20,18,16,6,2
44,14,16,6,1
48,52,90,22,10
45,45,102,20,1
52,50,92,24,2
10,10,4,4,1
52,40,70,22,1
12,11,6,6,1
52,20,24,14,1
48,48,70,24,1
48,34,72,20,1
26,18,34,10,2
48,44,82,24,1
22,18,26,10,1
48,40,82,20,2
52,34,76,18,3
46,36,86,16,1
29,22,34,6,1
21,21,74,8,1
22,14,8,4,1
22,12,10,4,3
46,46,100,22,1
52,12,8,4,3
36,52,78,20,1
52,48,82,22,4
40,40,98,24,2
26,22,42,10,28
20,18,6,0,1
52,44,78,24,4
22,20,28,6,1
18,20,18,6,2
32,30,74,14,1
14,22,6,4,1
44,48,78,22,2
10,40,8,4,1
16,10,4,2,2
14,12,12,4,1
12,12,14,6,1
26,24,34,10,1
10,28,6,4,1
18,22,14,6,2
18,20,6,0,3
48,50,88,24,2
18,10,8,4,1
44,40,70,16,1
48,40,66,22,1
44,52,90,20,1
48,44,86,20,1
44,52,86,24,3
48,12,10,4,1
12,12,4,2,1
52,44,74,22,1
22,12,10,6,1
52,48,74,24,1
44,40,74,18,1
28,28,76,10,1
48,48,82,22,5
12,16,10,4,1
45,43,92,17,1
33,33,78,14,2
48,44,86,22,1
46,46,92,24,3
31,31,74,14,1
48,48,98,22,2
38,38,92,16,1
36,36,84,10,1
44,48,94,20,3
20,50,54,16,1
42,38,76,22,1
44,44,92,16,8
42,36,68,20,1
12,14,4,4,1
48,46,66,24,1
22,16,8,4,1
20,22,6,2,2
36,48,62,22,1
22,16,24,6,2
33,33,82,12,1
28,28,104,6,1
22,18,28,6,2
32,52,74,18,1
18,22,6,0,1
44,48,82,22,1
40,48,74,18,1
33,33,78,12,1
46,48,80,20,1
50,50,96,24,6
45,45,102,18,3
52,34,68,22,1
52,44,86,22,4
52,12,10,12,1
52,24,44,14,1
40,48,70,20,1
52,40,66,18,1
14,28,10,4,2
52,34,70,18,1
36,36,84,16,1
52,20,14,10,1
42,42,88,18,4
52,12,12,6,3
40,40,102,14,2
32,32,68,18,3
39,39,86,12,1
33,33,82,10,2
42,42,96,18,1
30,30,72,14,1
52,28,40,16,1
52,28,74,18,1
50,52,88,24,1
44,40,62,16,1
44,40,46,22,1
48,52,82,22,1
22,22,42,10,3
52,36,82,18,7
52,14,18,6,1
35,35,86,12,1
24,24,94,10,1
29,29,78,12,1
18,12,54,10,1
52,38,84,22,1
48,48,74,22,1
42,46,84,24,1
34,34,80,10,1
16,22,16,6,4
22,16,54,12,1
22,10,8,4,1
36,36,84,14,1
26,26,96,10,2
43,41,104,20,1
48,16,16,6,1
35,35,78,14,1
41,41,90,14,2
36,36,84,20,1
16,16,6,4,1
20,24,32,6,1
22,16,10,4,2
32,36,80,12,1
48,28,44,12,1
22,12,22,6,1
40,48,62,18,1
22,12,6,6,1
48,48,86,22,6
46,46,96,20,1
46,46,84,18,1
20,22,36,6,3
26,18,38,8,1
52,38,62,22,1
12,8,4,2,1
52,30,66,14,3
