fwd-ref,rev-ref,fwd-rev,core-ref,reads
44,48,94,26,4
20,50,54,18,1
42,38,76,28,1
42,36,68,24,1
12,14,4,4,2
48,46,66,30,1
22,16,8,4,1
36,48,62,28,1
22,16,24,8,1
33,33,82,16,1
22,14,14,6,6
28,28,104,10,1
22,18,28,8,3
32,52,74,24,1
18,22,6,4,1
44,48,82,28,1
22,16,16,6,3
40,48,74,24,1
46,48,80,26,1
50,50,96,30,6
45,45,102,23,3
52,34,68,26,1
52,12,10,12,1
52,24,44,18,1
40,48,70,26,1
52,40,66,24,1
14,28,10,4,1
22,18,38,10,4
52,34,70,20,1
22,8,8,6,1
44,52,90,30,4
36,36,84,18,2
52,20,14,10,1
42,42,88,22,3
52,12,12,6,2
40,40,102,18,2
48,48,98,28,13
32,32,68,20,3
39,39,86,17,1
33,33,82,14,2
42,42,96,24,1
30,30,72,18,1
52,28,40,22,1
52,28,74,24,1
50,52,88,30,1
44,40,62,20,1
44,40,46,28,1
48,52,82,28,2
22,22,42,14,3
52,36,82,20,7
52,14,18,8,1
35,35,86,16,1
24,24,94,10,1
29,29,78,16,1
18,12,54,10,1
52,38,84,28,1
48,48,74,28,1
42,46,84,28,1
34,34,80,14,1
16,22,16,10,3
22,16,54,12,1
22,10,8,4,1
26,26,96,12,2
43,41,104,22,1
48,16,16,6,1
35,35,78,16,1
41,41,90,19,5
36,36,84,22,1
16,16,6,4,2
20,24,32,10,1
22,16,10,8,1
32,36,80,16,1
48,28,44,14,1
22,12,22,6,1
40,48,62,24,1
22,12,6,6,2
48,48,86,28,6
46,46,84,24,1
20,22,36,10,3
26,18,38,12,5
52,38,62,28,1
12,8,4,2,1
52,30,66,16,3
22,22,116,10,1
12,16,8,6,1
38,38,88,18,2
52,36,70,26,1
22,12,6,4,1
52,21,31,20,1
46,46,100,28,1
52,18,24,16,1
26,26,76,14,1
28,29,48,18,1
36,40,80,18,1
52,38,84,22,3
52,16,10,4,1
46,20,36,18,1
16,12,4,4,1
44,36,42,26,1
48,26,52,12,1
18,10,10,4,1
46,36,90,20,1
33,37,88,15,1
