type,outcome,reads
alignment scores,0,0
alignment scores,1,0
alignment scores,2,0
alignment scores,3,0
alignment scores,4,0
alignment scores,5,0
alignment scores,6,0
alignment scores,7,0
alignment scores,8,0
alignment scores,9,0
alignment scores,10,0
alignment scores,11,0
alignment scores,12,0
alignment scores,13,0
alignment scores,14,0
alignment scores,15,0
alignment scores,16,0
alignment scores,17,0
alignment scores,18,0
alignment scores,19,0
alignment scores,20,0
alignment scores,21,0
alignment scores,22,0
alignment scores,23,0
alignment scores,24,0
alignment scores,25,0
alignment scores,26,0
alignment scores,27,0
alignment scores,28,0
alignment scores,29,0
alignment scores,30,0
alignment scores,31,0
alignment scores,32,0
alignment scores,33,0
alignment scores,34,0
alignment scores,35,0
alignment scores,36,0
alignment scores,37,0
alignment scores,38,1
alignment scores,39,1
alignment scores,40,0
alignment scores,41,0
alignment scores,42,0
alignment scores,43,1
alignment scores,44,16
alignment scores,45,0
alignment scores,46,15
alignment scores,47,3
alignment scores,48,15
alignment scores,49,16
alignment scores,50,18
alignment scores,51,19
alignment scores,52,18
alignment scores,53,22
alignment scores,54,18
alignment scores,55,15
alignment scores,56,30
alignment scores,57,15
alignment scores,58,45
alignment scores,59,9
alignment scores,60,24
alignment scores,61,153
alignment scores,62,32
alignment scores,63,34
alignment scores,64,8946
alignment scores,65,49
alignment scores,66,10
alignment scores,67,72
alignment scores,68,142
alignment scores,69,12
alignment scores,70,13
alignment scores,71,8
alignment scores,72,18
alignment scores,73,29
alignment scores,74,12
alignment scores,75,4
alignment scores,76,10
alignment scores,77,0
alignment scores,78,4
alignment scores,79,2
alignment scores,80,6
alignment scores,81,3
alignment scores,82,30
alignment scores,83,3
alignment scores,84,16
alignment scores,85,1
alignment scores,86,25
alignment scores,87,4
alignment scores,88,21
alignment scores,89,6
alignment scores,90,32
alignment scores,91,1
alignment scores,92,11
alignment scores,93,4
alignment scores,94,12
alignment scores,95,0
alignment scores,96,36
alignment scores,97,2
alignment scores,98,15
alignment scores,99,4
alignment scores,100,11
alignment scores,101,1
alignment scores,102,42
alignment scores,103,0
alignment scores,104,30
alignment scores,105,9
alignment scores,106,10
alignment scores,107,2
alignment scores,108,42
alignment scores,109,4
alignment scores,110,14
alignment scores,111,10
alignment scores,112,29
alignment scores,113,3
alignment scores,114,39
alignment scores,115,0
alignment scores,116,59
alignment scores,117,22
alignment scores,118,49
alignment scores,119,0
alignment scores,120,356
alignment scores,121,4
alignment scores,122,2
alignment scores,123,1
alignment scores,124,197
alignment scores,125,8
alignment scores,126,11
alignment scores,127,0
alignment scores,128,362
alignment scores,129,25
alignment scores,130,0
alignment scores,131,0
alignment scores,132,13575
lost reads,Poor Alignment,10079
lost reads,Length Mismatch,4838
lost reads,Index Mismatches,0
