Fwd-Ref (max=52),Rev-Ref (max=52),Fwd-Rev (max=98),Core-Ref (max=30),reads
52,28,54,16,9
52,24,40,12,10
12,8,6,4,1
22,8,8,8,27
52,46,92,30,4
52,44,90,30,7
22,18,42,12,8
52,30,58,18,1
52,32,68,20,4
52,30,66,18,1
52,38,84,26,1
52,26,50,14,1
22,18,18,6,32
52,50,96,30,22
22,20,44,12,10
52,36,82,24,3
40,38,80,30,1
52,48,94,30,36
46,24,40,12,3
22,10,10,4,4
52,26,52,14,1
22,12,13,8,1
10,10,4,4,13
22,22,32,12,65
22,22,46,12,8914
52,52,98,30,13069
52,44,90,26,8
45,45,94,23,40
46,46,96,24,211
23,22,32,12,43
46,44,98,24,1
46,46,100,24,100
44,44,96,22,25
52,32,50,20,1
48,48,98,26,49
22,22,42,10,8
52,44,86,26,11
52,50,92,30,2
25,23,74,13,1
46,52,92,30,3
52,52,94,30,322
52,16,22,12,1
18,20,6,4,2
34,34,80,22,5
52,48,82,28,2
52,48,90,28,33
48,48,94,28,1
22,22,42,12,110
48,28,72,14,1
43,43,94,21,16
25,21,78,11,27
50,52,96,30,8
48,48,94,30,6
22,24,46,12,30
48,48,78,26,3
29,29,78,16,17
48,48,86,28,4
52,52,86,30,17
52,12,14,12,1
31,31,74,18,12
14,10,6,4,3
35,35,82,14,5
42,42,96,20,3
48,52,94,30,74
39,39,86,24,3
12,10,10,4,8
24,24,40,12,4
52,52,90,30,79
18,22,18,6,30
12,10,6,4,13
22,14,8,4,2
35,35,86,16,3
52,44,90,28,10
48,48,98,30,39
48,32,54,26,1
36,36,80,22,2
10,12,6,4,2
52,48,94,28,114
20,20,40,10,1
26,20,20,10,3
39,39,90,18,4
52,40,86,24,3
50,50,96,30,9
22,12,12,10,1
12,14,10,4,1
22,14,14,6,3
52,48,90,30,18
52,52,74,30,2
22,18,42,10,40
14,22,10,6,1
38,38,92,24,1
30,26,76,18,2
14,10,4,4,6
46,52,88,30,1
52,48,86,28,11
14,14,10,6,1
18,20,18,6,1
52,28,64,16,1
22,22,38,10,5
52,10,10,8,1
10,10,8,4,5
24,24,82,10,1
15,15,92,10,1
39,39,86,17,5
22,20,20,10,45
22,20,36,10,3
14,8,4,4,1
42,42,100,20,1
48,48,90,28,6
24,22,32,10,2
44,44,92,22,15
22,14,12,8,1
12,12,28,12,1
14,10,10,6,1
18,18,18,6,15
48,52,90,30,28
52,30,56,16,5
52,30,58,16,2
38,38,94,24,10
40,40,92,18,3
20,20,6,4,27
52,16,17,16,1
45,45,102,23,2
30,30,66,18,2
46,46,92,24,5
22,12,6,4,2
41,41,90,20,2
32,32,76,18,2
36,36,88,18,2
52,36,82,22,8
36,36,88,16,1
41,41,94,22,1
10,12,4,4,2
52,36,58,24,2
41,41,102,19,1
30,30,76,18,2
20,20,20,10,7
22,20,36,12,1
24,22,28,10,1
25,18,48,10,1
22,6,6,4,1
52,34,80,20,5
11,12,10,4,1
32,32,76,14,3
44,48,82,26,1
48,48,98,28,9
36,36,98,22,2
52,30,64,16,5
22,26,46,12,1
22,10,8,6,3
20,20,44,12,1
26,26,66,14,5
20,22,28,8,1
12,14,8,4,2
24,24,94,12,6
48,48,90,26,5
32,32,84,14,2
26,22,42,14,10
46,46,88,24,3
52,30,66,16,8
52,30,60,16,5
44,52,82,30,2
20,20,36,12,1
48,52,94,28,24
44,44,96,30,21
52,34,74,20,1
35,35,86,17,1
34,34,88,14,2
10,10,4,2,4
48,52,78,30,3
29,26,60,16,2
10,10,2,2,9
40,40,102,18,2
44,48,78,28,1
52,44,86,30,2
22,18,38,10,2
24,28,32,8,1
20,22,20,10,14
26,26,80,14,4
52,12,12,8,2
