Fwd-Ref (max=52),Rev-Ref (max=52),Fwd-Rev (max=98),Core-Ref (max=30),reads
52,44,86,28,5
12,10,4,2,1
41,41,90,21,1
18,22,38,10,1
52,52,82,30,8
52,40,78,24,2
52,30,60,26,1
27,27,74,14,2
33,33,78,16,3
22,14,10,6,2
38,38,92,16,2
48,52,86,28,6
25,20,20,10,2
48,44,90,28,1
12,16,62,12,1
20,22,44,12,4
48,52,90,28,10
38,38,90,24,2
22,14,16,6,1
26,22,32,12,4
48,48,62,26,1
48,48,90,30,6
14,14,8,4,1
48,36,62,22,1
31,31,82,12,1
21,14,28,8,1
41,41,90,19,4
12,12,6,4,4
33,33,82,16,2
44,44,88,22,1
12,12,10,4,2
43,43,90,21,2
12,10,8,4,5
52,34,74,22,1
48,52,82,28,2
30,30,80,18,12
14,12,6,6,1
18,22,14,6,2
45,41,74,23,1
29,29,82,14,2
18,24,18,6,4
45,33,74,19,1
52,10,10,10,1
22,18,30,8,1
44,52,86,30,3
20,22,6,4,4
48,12,20,10,1
52,38,84,24,1
14,14,18,8,7
40,44,88,22,1
14,28,12,4,1
40,46,48,24,1
44,52,90,30,5
40,52,86,28,1
52,42,88,26,17
52,10,10,4,2
44,36,70,22,1
18,20,18,8,1
24,24,34,14,8
42,42,88,20,2
35,35,88,14,1
38,32,44,16,1
10,12,6,6,3
52,30,60,20,1
50,52,92,30,1
10,10,10,4,5
22,20,40,10,1
52,40,40,20,1
52,44,74,28,1
36,36,84,18,5
52,14,12,10,1
41,41,90,22,1
44,44,98,22,4
48,28,50,24,1
22,22,42,14,3
18,18,34,10,1
22,22,34,12,1
22,18,14,6,2
42,42,92,20,7
20,28,28,10,1
10,10,6,4,4
52,18,25,18,1
44,52,90,28,3
40,36,62,20,1
42,46,88,22,1
30,34,76,16,1
18,22,34,12,2
46,38,92,22,1
52,14,10,8,1
12,12,12,4,3
18,22,28,12,1
21,20,20,10,11
44,48,86,30,1
52,52,78,30,2
18,10,6,2,1
40,40,88,20,1
46,42,96,24,2
14,10,8,4,4
22,18,34,10,2
30,8,8,4,1
44,48,86,26,2
48,40,82,22,1
48,52,86,30,7
22,24,42,12,2
48,14,10,4,1
36,36,84,14,2
22,16,16,10,2
32,24,34,14,1
12,12,8,4,1
38,38,88,18,2
48,16,12,6,1
12,10,14,8,1
22,22,38,12,8
16,12,14,4,1
52,48,86,30,3
10,12,8,6,1
20,22,36,10,5
52,40,86,26,3
48,52,82,30,1
52,32,70,18,3
22,10,10,6,4
43,43,90,22,4
52,14,14,8,2
44,44,92,30,1
46,28,54,16,1
42,42,88,22,2
52,42,80,30,1
52,28,32,20,1
50,48,92,28,1
52,16,14,12,1
12,16,6,4,1
40,36,34,20,1
52,28,54,14,2
52,32,68,18,2
42,46,92,22,1
36,40,84,16,1
16,10,10,4,1
40,42,54,20,1
22,12,10,4,1
52,18,25,14,1
10,20,8,4,1
35,25,50,14,1
30,30,76,12,1
48,16,10,6,1
22,19,20,6,1
52,44,78,30,1
33,33,82,12,1
22,12,4,4,1
52,12,14,8,1
35,35,90,24,2
46,42,92,22,1
48,44,82,24,2
48,48,86,30,2
30,30,76,14,3
46,48,80,26,1
22,10,10,8,1
32,32,80,16,1
25,22,84,12,2
41,41,94,19,2
48,48,82,28,2
42,42,92,24,1
12,24,10,6,1
44,44,98,26,2
11,15,19,8,1
22,22,14,4,1
52,46,84,28,1
16,10,8,4,1
52,46,92,28,1
16,12,74,10,1
38,46,80,22,1
22,18,24,10,1
48,44,82,26,2
39,39,90,17,1
26,22,38,14,3
16,26,14,8,1
48,40,74,26,1
44,52,82,28,1
10,16,6,4,1
11,10,10,4,1
22,14,34,8,1
52,34,72,20,3
52,14,14,4,1
22,20,38,14,1
50,44,76,28,1
22,12,6,6,1
44,38,86,20,1
12,10,4,4,1
12,14,6,4,1
22,18,38,12,2
40,28,60,24,1
42,42,48,26,1
52,20,40,16,1
16,10,6,6,1
22,20,32,10,2
52,34,78,20,2
52,34,76,20,4
45,41,90,21,1
33,33,78,20,4
20,20,16,10,1
22,16,16,6,4
32,32,76,16,2
29,29,70,18,1
25,25,98,12,4
48,44,82,28,3
52,44,82,26,3
52,48,82,30,3
23,18,28,10,1
48,40,78,26,1
33,33,82,14,2
32,32,86,12,1
52,12,16,6,1
22,10,8,4,2
52,40,82,26,2
48,36,62,24,1
48,44,86,24,2
48,48,94,26,1
48,42,84,26,1
52,50,84,30,1
35,35,82,16,1
22,18,38,8,1
12,12,4,4,1
33,33,84,16,1
10,12,8,4,2
52,46,88,28,2
42,46,88,24,2
22,22,28,12,1
25,17,74,10,1
50,48,88,28,2
48,40,54,22,1
20,22,22,10,1
52,14,8,4,1
14,14,48,14,1
52,12,10,4,2
22,14,24,8,1
52,44,74,26,1
52,44,78,26,1
16,12,26,10,1
20,18,6,4,1
50,36,64,24,1
12,12,12,6,1
52,44,70,28,3
52,14,10,4,1
40,40,88,18,1
24,24,12,4,1
52,38,80,24,1
40,40,94,18,3
39,39,94,17,1
37,37,94,20,1
39,39,86,22,2
22,18,28,8,1
42,52,88,30,1
48,44,50,28,1
16,12,12,6,1
16,16,12,4,1
37,37,86,18,1
25,22,32,12,5
52,42,84,26,1
38,22,60,18,1
40,40,92,20,1
14,10,4,2,1
50,48,80,28,1
38,48,52,24,1
48,46,80,28,1
52,44,82,28,3
22,26,42,14,1
22,12,12,8,1
12,22,8,4,1
46,52,80,28,1
22,10,6,4,1
34,34,88,12,1
52,28,62,20,1
52,40,44,24,1
52,14,12,6,2
10,20,4,4,1
22,8,8,4,2
22,20,38,12,1
12,24,12,4,1
44,44,58,22,1
20,24,14,6,1
14,24,12,8,1
52,48,78,28,1
22,14,14,8,1
22,14,6,6,1
33,33,82,21,1
20,15,12,8,1
30,24,34,14,1
52,16,28,10,1
27,24,84,12,1
35,35,82,17,1
14,12,8,4,2
52,18,16,12,1
14,11,8,8,1
46,36,90,20,1
22,16,16,8,1
27,20,20,10,1
34,34,88,18,2
48,40,86,26,1
35,41,54,18,1
52,44,82,30,1
30,38,76,24,1
25,29,74,16,1
52,40,78,26,3
12,10,12,6,1
22,22,14,6,1
22,14,22,6,1
22,20,34,12,1
12,12,50,12,1
48,44,86,28,1
31,31,84,14,2
22,16,24,10,1
52,40,82,28,1
52,12,12,4,1
52,10,8,4,1
22,26,34,12,1
36,32,80,18,1
52,10,8,6,2
44,10,12,4,1
16,20,6,4,1
46,52,92,28,1
44,52,86,26,1
26,26,74,12,2
50,40,76,26,1
48,44,78,28,1
44,46,76,26,1
48,48,74,28,1
16,26,6,4,1
16,12,34,6,1
14,52,10,4,1
48,44,86,26,1
18,20,18,10,1
44,52,86,28,2
10,10,6,6,3
52,16,38,14,1
52,24,46,16,1
26,26,48,14,1
41,41,94,24,1
52,40,62,26,1
52,40,74,26,1
36,36,90,16,1
26,26,52,14,1
10,12,8,8,2
22,22,96,10,1
19,14,20,6,1
48,48,66,28,1
37,37,86,20,1
22,24,34,10,1
28,28,72,16,1
52,42,72,30,1
10,12,2,2,1
46,42,92,24,1
14,12,42,12,1
38,38,88,16,1
36,36,90,14,1
12,12,12,8,1
52,36,48,22,1
48,44,94,24,1
12,8,4,4,1
48,46,72,28,1
12,12,34,6,1
14,10,14,4,1
31,31,78,16,1
22,10,12,6,1
10,34,8,4,1
52,44,62,28,1
32,32,68,20,1
35,35,92,14,1
18,22,6,4,1
39,35,82,16,1
52,18,44,16,1
44,36,82,24,1
52,16,28,12,1
40,40,98,18,1
25,21,74,12,1
52,34,76,26,1
46,44,76,22,1
41,41,82,20,1
45,45,86,23,1
52,36,82,26,1
22,20,18,6,1
27,27,74,12,1
52,44,66,28,1
48,44,70,24,1
52,12,18,6,1
18,18,14,6,2
26,26,96,12,2
52,32,78,24,1
18,24,10,6,1
14,22,14,8,1
12,16,10,4,1
52,16,16,8,1
14,12,50,12,1
48,24,58,24,1
20,24,30,10,1
40,52,78,28,1
18,30,14,6,1
52,48,78,30,1
10,30,8,4,1
52,26,54,24,1
48,40,74,28,1
46,46,92,30,2
20,18,16,8,1
50,44,72,26,1
44,12,8,4,1
52,40,70,26,2
44,36,50,22,1
48,48,56,26,1
52,42,56,28,1
48,52,78,28,1
50,36,80,22,1
22,16,20,6,1
20,24,28,12,1
24,24,48,14,1
22,24,32,12,1
25,25,98,10,1
12,40,12,4,1
14,34,8,2,1
52,8,8,4,1
36,28,78,18,1
40,40,92,22,1
36,36,92,14,1
52,40,82,24,1
52,16,10,4,1
46,42,96,22,1
29,29,78,12,1
22,10,6,6,1
16,22,16,10,1
48,36,70,20,1
21,21,78,11,1
41,16,22,12,1
52,36,62,24,1
20,24,32,10,1
28,28,86,14,1
32,32,80,12,1
10,8,2,2,1
52,44,54,30,1
52,14,14,12,1
52,36,66,28,1
39,39,90,20,1
45,37,86,22,1
12,12,42,10,1
52,48,74,28,1
52,52,70,30,1
22,18,34,12,1
41,41,82,19,1
52,38,64,26,1
52,12,8,4,1
44,52,90,26,1
37,37,90,15,1
46,23,52,18,1
