fwd-ref,rev-ref,fwd-rev,core-ref,reads
12,16,6,4,1
40,36,34,18,1
52,28,54,12,2
52,32,68,16,2
42,46,92,18,1
36,40,84,14,1
16,10,10,4,1
40,42,54,14,1
22,12,10,4,1
52,18,25,10,1
10,20,8,4,1
35,25,50,12,1
30,30,76,10,2
48,16,10,6,1
22,19,20,6,1
52,44,78,24,1
33,33,82,10,1
22,12,4,4,1
52,12,14,6,1
35,35,90,20,2
46,42,92,16,1
48,44,82,20,4
48,48,86,24,2
30,30,76,12,2
46,48,80,22,1
32,32,80,12,1
25,22,84,8,2
41,41,94,14,2
20,22,6,2,3
48,48,82,22,2
42,42,92,20,1
12,24,10,6,1
44,44,98,20,2
11,15,19,8,1
22,22,14,4,1
52,46,84,22,1
16,10,8,4,1
52,46,92,22,1
16,12,74,10,1
38,46,80,16,1
22,18,24,6,1
26,22,38,10,3
16,26,14,8,1
48,40,74,22,1
44,52,82,22,1
43,43,94,18,1
10,16,6,4,1
11,10,10,4,1
22,14,34,8,1
52,34,72,18,3
52,14,14,4,2
22,20,38,10,1
50,44,76,22,1
22,12,6,6,1
44,38,86,16,1
12,10,4,4,1
12,14,6,2,1
40,28,60,18,1
42,42,48,20,1
52,20,40,16,1
16,10,6,4,1
44,44,92,16,4
22,20,32,6,2
52,34,78,18,2
52,34,76,18,4
45,41,90,18,1
33,33,78,16,4
20,20,16,6,1
43,43,94,15,6
29,29,70,14,1
25,25,98,10,5
48,44,82,22,2
52,44,82,20,3
52,48,82,24,3
23,18,28,6,1
48,40,78,22,1
33,33,78,14,2
32,32,86,8,1
52,12,16,4,1
22,10,8,4,2
52,40,82,22,3
48,36,62,22,1
48,44,86,18,2
48,48,94,20,1
48,42,84,20,1
52,50,84,24,1
42,42,96,16,1
35,35,82,14,1
12,12,4,4,1
33,33,84,14,1
52,46,88,24,1
42,46,88,18,2
22,22,28,8,1
25,17,74,8,1
50,48,88,22,2
48,40,54,20,1
20,22,22,6,1
52,14,8,4,1
14,14,48,14,1
52,12,10,4,2
22,14,24,6,1
52,12,12,4,2
52,44,78,20,1
16,12,26,10,1
20,18,6,0,1
50,36,64,18,1
52,44,70,24,1
52,14,10,4,1
40,40,88,12,1
24,24,12,4,1
52,38,80,22,1
40,40,94,12,3
39,39,94,12,1
37,37,94,18,1
22,18,28,8,1
42,52,88,24,1
52,40,86,20,1
48,44,50,22,1
16,12,12,6,1
16,16,12,4,1
37,37,86,16,2
25,22,32,8,5
52,42,84,24,1
38,22,60,16,1
40,40,92,18,2
14,10,4,2,2
52,44,70,22,2
50,48,80,22,1
38,48,52,20,1
48,46,80,24,1
52,44,82,24,2
22,26,42,10,1
22,12,12,4,1
12,22,8,4,1
46,52,80,24,1
22,10,6,4,2
22,18,38,6,1
52,28,62,16,1
52,40,44,18,1
52,40,86,18,1
10,20,4,4,1
22,20,38,8,1
12,24,12,4,1
12,12,6,0,1
44,44,58,18,1
20,24,14,4,1
14,24,12,8,1
52,48,78,22,1
22,14,6,6,1
33,33,82,17,1
20,15,12,6,1
30,24,34,10,1
52,16,28,10,1
27,24,84,8,1
18,22,14,6,1
35,35,82,13,1
14,12,8,4,2
52,18,16,10,1
22,14,14,6,2
14,11,8,6,1
45,45,102,17,1
46,36,90,18,1
22,16,16,4,2
27,20,20,6,1
34,34,88,14,2
48,40,86,20,1
35,41,54,14,1
30,38,76,18,1
25,29,74,12,1
12,10,12,6,1
22,22,14,6,1
22,14,22,6,1
22,20,34,8,1
12,12,50,8,1
48,44,86,22,1
31,31,84,10,2
22,16,24,6,1
52,10,8,4,3
22,26,34,8,1
36,32,80,16,1
44,10,12,4,1
16,20,6,0,1
52,40,78,18,1
52,44,82,22,2
46,52,92,22,1
44,52,86,20,1
26,26,74,12,2
50,40,76,20,1
48,44,78,24,1
44,46,76,20,1
52,46,88,22,1
48,48,74,22,1
16,26,6,4,1
16,12,34,6,1
14,52,10,4,1
48,44,86,20,1
44,52,86,22,2
10,10,6,2,3
52,16,38,12,1
52,24,46,14,1
26,26,48,12,1
41,41,94,22,1
52,40,62,22,1
52,40,74,22,1
36,36,90,12,1
26,26,52,12,1
10,12,8,6,2
22,22,96,10,1
19,14,20,6,1
48,48,66,22,1
52,40,78,22,2
22,24,34,8,1
28,28,72,12,1
52,42,72,24,1
