fwd-ref,rev-ref,fwd-rev,core-ref,reads
22,8,8,4,17
52,48,94,24,49
52,28,54,14,37
52,24,40,10,13
52,38,84,22,7
52,42,88,24,13
20,20,36,10,1
22,18,18,6,30
22,18,42,8,27
46,32,68,18,1
52,46,92,24,12
10,8,6,4,5
10,8,4,4,7
10,6,4,4,2
52,34,80,20,8
10,8,4,2,1
50,42,88,22,1
48,46,92,24,1
14,4,4,4,1
12,10,4,4,106
14,6,6,4,1
32,28,54,14,4
10,8,6,2,1
12,6,4,4,1
52,50,96,24,27
52,34,78,20,4
52,32,68,18,1
10,6,4,2,1
52,26,52,12,2
52,34,76,20,6
22,20,44,8,10
10,8,2,2,2
52,40,86,22,8
52,48,82,24,5
52,30,64,16,3
22,14,14,6,4
10,4,4,4,2
12,8,8,4,1
10,8,4,0,1
15,8,8,4,1
39,20,20,6,1
46,44,98,18,1
14,6,2,2,1
52,20,20,10,1
10,10,6,2,2
14,8,4,0,1
20,20,20,6,10
14,10,4,2,20
12,8,6,4,4
48,40,74,20,2
52,42,88,22,1
52,24,24,10,1
37,20,20,6,1
22,16,16,6,15
15,8,4,4,1
14,8,4,4,2
20,8,4,0,1
48,28,54,14,1
52,30,76,18,1
10,14,6,2,4
14,10,4,4,259
18,22,18,6,18
22,12,12,6,2
52,52,98,24,12588
32,32,76,14,166
10,10,4,4,735
22,22,46,8,5546
14,18,10,4,3
12,10,8,4,214
10,10,6,4,413
52,52,94,24,403
12,12,66,12,2
52,48,94,22,80
14,10,6,4,75
12,10,6,4,248
48,48,98,24,103
48,52,94,22,41
10,10,2,0,126
52,12,10,4,4
41,41,82,13,2
13,10,6,4,2
22,26,42,10,3
22,20,20,6,43
14,22,8,4,2
48,52,94,24,113
41,41,90,16,3
12,14,8,4,5
12,12,46,12,30
32,30,74,14,1
10,10,8,4,123
14,12,6,6,9
48,48,98,20,140
43,43,94,15,4
10,10,4,2,211
11,12,6,2,1
37,37,90,20,1
52,44,78,22,2
10,12,6,4,43
25,23,78,10,2
12,12,58,10,1
12,10,10,4,67
11,10,4,2,1
11,10,10,4,38
30,28,54,14,1
14,12,4,0,4
24,24,40,10,157
52,48,90,22,32
52,52,90,24,101
28,48,62,18,1
12,14,6,4,5
14,14,18,4,7
14,12,6,4,20
48,42,84,22,2
48,44,74,22,3
52,52,86,24,34
12,12,4,4,5
24,22,30,8,1
52,38,72,22,1
52,48,78,22,3
15,10,10,4,5
52,44,74,24,2
10,10,10,4,15
16,10,6,4,34
46,46,100,20,22
46,46,96,18,91
14,12,50,10,2
10,11,4,4,1
23,12,8,4,1
10,16,6,2,4
52,44,62,20,1
22,22,42,8,105
44,44,96,22,2
22,16,20,4,4
48,52,90,24,22
12,12,12,6,11
48,48,82,20,1
14,12,58,10,3
12,12,54,6,2
15,12,50,10,1
52,34,30,18,1
10,24,6,4,2
10,14,8,4,2
22,24,46,8,10
44,42,76,20,1
52,48,86,24,10
10,12,4,4,15
52,38,84,24,3
48,52,82,24,5
12,12,22,10,4
37,37,86,16,1
10,12,4,2,9
10,16,4,0,2
14,20,10,4,2
16,10,4,4,9
14,10,8,4,22
52,36,74,22,3
10,12,2,2,3
18,18,6,0,9
30,30,74,14,1
12,12,6,4,22
36,36,84,12,1
14,28,6,4,1
22,19,36,8,1
46,46,100,18,32
52,12,20,10,1
30,30,80,16,16
12,10,4,2,32
32,10,10,4,1
50,52,96,24,11
16,10,4,2,2
52,44,86,22,7
44,44,86,18,1
48,48,90,22,10
14,12,8,4,15
10,12,8,2,2
50,42,88,24,1
18,16,58,10,3
10,24,8,2,1
25,21,78,8,7
52,52,82,24,16
14,12,16,6,3
22,14,17,6,1
52,18,18,8,1
52,36,78,20,1
52,52,78,24,6
19,24,36,8,1
12,12,50,12,2
12,12,50,8,4
52,40,82,20,3
22,20,32,6,1
18,18,8,4,1
52,50,92,24,3
12,12,16,4,9
52,32,58,18,1
12,12,34,8,2
52,40,62,20,1
52,18,21,12,1
32,28,72,14,3
48,44,82,22,4
10,32,8,4,1
30,26,76,16,1
14,26,8,4,1
20,18,16,4,1
44,44,98,16,4
14,14,6,2,4
10,14,4,2,2
16,10,10,4,9
36,36,84,10,8
52,30,66,16,7
52,14,10,4,2
12,14,6,2,1
22,22,32,8,17
41,41,94,14,3
31,31,74,14,3
11,10,6,4,4
14,14,14,4,4
