Fwd-Ref (max=52),Rev-Ref (max=52),Fwd-Rev (max=98),Core-Ref (max=30),reads
22,8,8,8,14
52,48,94,30,33
52,28,54,16,37
52,24,40,12,13
52,38,84,26,10
52,42,88,30,2
20,20,36,12,1
22,18,18,6,29
22,18,42,12,10
46,32,68,20,1
52,46,92,30,12
10,8,6,4,6
10,8,4,4,8
10,6,4,4,2
52,34,80,22,8
10,8,4,2,1
50,42,88,28,2
48,46,92,30,1
14,4,4,4,1
12,10,4,4,107
14,6,6,4,1
32,28,54,16,4
12,6,4,4,1
52,50,96,30,27
52,34,78,22,4
22,8,8,4,4
52,32,68,20,1
10,6,4,2,1
52,26,52,14,2
52,34,76,22,6
22,20,44,12,10
10,8,2,2,2
52,40,86,28,6
52,48,82,30,4
52,30,64,18,2
22,14,14,6,6
10,4,4,4,2
12,8,8,4,1
15,8,8,4,1
39,20,20,8,1
46,44,98,24,1
14,6,2,2,1
52,20,20,10,1
10,10,6,6,1
14,8,4,4,3
20,20,20,8,2
14,10,4,2,20
12,8,6,4,4
48,40,74,26,1
52,42,88,28,12
52,24,24,12,1
37,20,20,8,1
22,16,16,6,3
15,8,4,4,1
20,8,4,4,1
48,28,54,16,1
52,30,76,20,1
10,14,6,4,9
14,10,4,4,260
18,22,18,6,18
22,12,12,6,3
52,52,98,30,12588
32,32,76,16,165
10,10,4,4,735
22,22,46,12,5546
14,18,10,4,3
12,10,8,4,213
10,10,6,4,414
52,52,94,30,403
12,12,66,12,2
52,48,94,28,96
14,10,6,4,76
12,10,6,4,250
48,48,98,30,83
48,52,94,28,79
10,10,2,2,126
52,12,10,4,3
41,41,82,19,2
13,10,6,4,2
22,26,42,14,3
22,20,20,10,42
14,22,8,6,2
48,52,94,30,75
41,41,90,19,5
12,14,8,4,5
12,12,46,12,30
32,30,74,16,1
10,10,8,4,123
14,12,6,6,12
48,48,98,26,162
43,43,94,21,6
10,10,4,2,211
11,12,6,4,1
37,37,90,22,1
52,44,78,26,3
10,12,6,4,46
25,23,78,13,2
12,12,58,10,2
12,10,10,4,67
11,10,4,2,1
11,10,10,4,38
30,28,54,16,1
14,12,4,4,8
24,24,40,12,157
52,48,90,28,36
52,52,90,30,101
28,48,62,24,1
12,14,6,4,7
14,14,18,8,8
14,12,6,4,20
48,42,84,24,1
48,44,74,26,1
52,52,86,30,34
12,12,4,4,8
22,18,42,10,17
24,22,30,10,1
52,38,72,28,1
52,48,78,28,4
15,10,10,4,5
52,44,74,30,1
10,10,10,4,14
16,10,6,4,34
46,46,100,24,54
46,46,96,24,92
14,12,50,12,4
10,11,4,4,1
23,12,8,4,1
10,16,6,4,4
52,44,62,26,1
22,22,42,12,99
44,44,96,26,2
22,16,20,6,4
48,52,90,30,14
12,12,12,6,10
48,48,82,26,5
14,12,58,10,4
12,12,54,8,3
15,12,50,12,2
52,34,30,22,1
10,24,6,4,2
10,14,8,4,2
22,24,46,12,10
44,42,76,24,1
52,48,86,28,14
10,12,4,4,17
48,52,82,28,7
12,12,22,12,4
37,37,86,20,1
10,12,4,2,9
10,16,4,4,4
14,20,10,4,2
16,10,4,4,9
14,10,8,4,23
52,36,74,26,2
10,12,2,2,3
18,18,6,4,9
30,30,74,16,1
12,12,6,4,23
36,36,84,16,1
14,28,6,4,1
22,19,36,10,1
22,22,42,10,6
52,12,20,14,1
30,30,80,18,15
12,10,4,2,31
32,10,10,4,1
50,52,96,30,11
16,10,4,2,2
52,44,86,26,9
44,44,86,22,1
48,48,90,28,9
14,12,8,4,13
10,12,8,4,20
18,16,58,12,4
10,24,8,4,1
25,21,78,11,7
52,52,82,30,16
14,12,16,6,4
22,14,17,10,1
52,18,18,8,1
52,36,78,24,1
52,52,78,30,6
19,24,36,10,1
12,12,50,12,11
52,40,82,26,5
22,20,32,10,1
18,18,8,4,1
52,48,82,28,4
52,50,92,30,3
12,12,16,6,7
52,32,58,24,1
12,12,34,8,2
52,40,62,26,1
52,18,21,12,1
32,28,72,16,3
48,44,82,28,1
10,32,8,4,1
30,26,76,18,1
14,26,8,8,1
20,18,16,8,1
44,44,98,22,5
14,14,6,4,8
10,14,4,4,6
16,10,10,4,9
48,40,74,24,1
48,44,74,28,3
36,36,84,14,8
52,30,66,18,7
52,14,10,4,3
22,22,32,12,17
41,41,94,19,3
48,48,98,28,12
31,31,74,18,2
14,14,18,4,2
11,10,6,4,4
14,14,14,8,3
48,44,90,24,2
52,12,12,4,4
52,24,54,22,1
12,12,8,4,17
48,48,94,26,4
22,16,16,10,12
22,18,38,10,10
18,12,12,6,1
18,12,12,8,1
14,16,6,6,1
14,10,10,4,22
14,28,8,4,1
32,24,60,16,1
52,40,86,26,3
48,42,88,24,1
26,24,38,14,1
22,10,10,8,1
14,10,6,2,1
48,48,78,30,1
52,16,14,10,1
26,26,72,14,1
44,44,96,30,11
18,10,4,2,2
18,18,18,6,17
28,28,76,12,4
48,48,94,30,10
22,16,28,10,1
18,14,18,8,1
14,11,6,6,1
52,48,86,30,6
12,12,54,10,4
24,20,6,4,7
45,18,20,6,1
14,14,8,6,3
16,12,4,4,3
12,12,12,4,14
32,32,72,16,3
32,28,68,16,1
14,12,10,10,1
52,24,46,24,1
