fwd-ref,rev-ref,fwd-rev,core-ref,reads
22,8,8,4,57
52,24,40,10,25
22,18,18,6,50
52,28,54,14,24
44,46,84,24,1
18,18,18,6,20
52,32,68,18,8
22,20,44,8,22
52,26,52,12,4
52,44,90,24,14
52,38,84,22,6
25,10,54,8,1
48,46,92,24,1
11,6,4,2,1
22,12,12,4,2
52,40,86,22,7
52,46,92,24,5
52,26,50,12,6
52,36,80,22,1
52,36,82,22,4
22,18,42,8,58
22,10,10,2,2
22,14,14,4,4
52,36,80,20,1
52,50,96,24,31
45,20,20,6,1
22,6,6,4,1
52,30,66,16,1
41,24,40,10,1
22,6,6,2,1
42,14,14,6,1
52,28,54,12,4
52,42,88,24,17
52,52,98,24,12698
22,22,46,8,9102
52,34,76,18,3
12,12,18,8,1
52,52,94,24,363
10,12,6,0,5
52,10,8,4,2
25,22,32,8,6
34,34,80,20,3
23,22,32,8,39
48,52,94,22,24
48,52,94,24,101
52,48,94,24,78
22,18,38,8,13
22,22,42,8,158
52,46,88,24,1
52,48,94,22,100
24,22,32,10,1
24,22,46,10,1
10,12,4,4,9
46,46,100,18,56
52,36,78,24,1
38,38,88,14,4
14,8,4,4,1
10,12,6,4,32
48,48,98,22,9
25,21,78,8,24
46,44,98,18,1
23,20,30,8,1
22,22,32,8,69
46,46,96,18,121
44,44,98,16,1
21,12,8,6,1
44,52,90,24,12
52,44,86,20,4
22,10,10,6,3
22,18,38,6,2
52,42,84,22,1
52,52,86,24,28
52,30,62,16,1
22,20,20,6,69
16,12,8,4,3
52,52,90,24,77
48,48,98,20,37
22,18,18,4,9
52,44,86,24,3
10,12,8,4,11
48,52,90,24,38
27,27,70,12,3
40,30,102,16,4
20,18,16,4,1
26,26,72,10,1
52,32,62,20,2
25,24,44,8,1
52,22,50,14,1
44,22,12,4,1
18,22,18,6,36
10,16,8,4,1
52,48,90,22,24
22,20,36,6,4
26,22,42,10,10
52,30,56,14,11
37,37,86,12,1
12,10,6,2,1
22,22,30,8,2
34,28,62,14,2
10,10,8,4,1
36,36,84,14,2
14,14,6,4,1
22,24,42,8,12
48,48,98,24,33
48,48,94,24,14
52,48,86,24,7
22,14,10,4,2
22,14,10,6,1
22,24,46,8,34
44,44,92,18,5
11,12,8,4,1
48,48,86,24,8
44,36,78,24,1
10,16,4,4,1
44,42,74,24,1
52,30,58,14,2
22,16,16,4,1
52,30,72,18,1
38,38,92,18,1
21,20,20,6,12
12,14,6,2,1
52,46,72,22,1
12,12,6,4,9
22,14,14,6,3
52,48,70,24,1
48,52,90,22,7
10,14,4,4,4
44,44,96,16,9
48,46,80,22,1
44,44,78,20,2
22,16,16,6,5
30,26,52,12,1
42,42,92,14,4
46,46,100,20,20
20,20,20,6,3
39,39,86,16,3
18,22,14,4,2
52,40,74,20,1
52,38,84,24,1
52,12,10,6,3
22,12,8,4,1
10,12,4,2,3
10,24,12,8,1
14,14,60,8,1
52,24,58,18,1
52,8,8,4,3
52,24,30,14,1
44,52,78,20,1
45,45,94,18,17
20,20,6,0,24
22,22,38,6,3
33,29,74,12,1
12,28,10,4,1
46,28,52,14,1
14,14,10,8,1
52,46,92,22,2
22,22,38,8,12
48,48,82,24,4
14,12,10,8,1
22,16,24,6,2
43,43,94,15,7
12,12,12,4,2
24,24,34,10,5
42,42,100,14,3
52,32,74,16,1
50,40,76,20,1
14,22,16,6,1
22,20,18,6,1
48,44,86,20,2
10,10,4,4,2
22,22,34,6,1
48,52,82,24,2
52,30,60,14,6
52,16,10,4,2
40,40,94,12,2
20,24,36,8,1
43,43,90,15,2
22,14,6,2,1
41,41,90,14,2
22,18,22,8,1
52,40,74,24,1
22,16,18,6,1
29,29,82,8,1
36,16,14,4,1
48,48,82,22,4
46,34,68,14,1
39,43,86,16,1
52,34,48,20,1
52,40,78,20,2
40,28,58,16,1
48,40,90,18,1
52,44,82,20,2
52,30,66,14,7
26,26,80,12,1
14,14,8,4,1
13,12,8,4,1
15,14,10,6,1
10,18,8,2,1
46,42,88,18,1
44,44,96,24,8
52,44,66,24,1
14,14,18,4,1
52,32,74,20,1
14,14,10,4,2
50,50,96,24,6
52,48,86,22,9
50,52,96,24,10
36,36,88,12,4
14,16,12,4,1
52,48,78,24,1
22,12,8,6,2
43,39,90,13,1
40,40,98,14,2
45,45,94,17,6
10,10,6,4,2
52,48,90,24,24
52,44,82,22,3
39,35,78,18,1
10,18,8,4,1
48,52,78,22,2
22,12,12,6,6
48,30,54,16,1
52,26,52,10,1
52,34,72,18,4
50,48,92,22,1
52,48,82,22,2
27,20,20,6,1
52,44,90,20,4
52,44,74,22,1
31,31,78,10,1
12,12,8,4,17
44,52,86,22,1
50,44,68,20,1
48,48,90,22,15
10,18,6,2,1
52,34,60,20,1
18,22,18,4,2
48,48,78,22,2
48,44,86,24,2
37,37,88,11,1
52,40,82,20,1
52,30,64,14,13
16,18,6,4,1
22,10,10,4,3
20,22,36,6,7
39,39,94,11,1
44,32,22,14,1
50,44,84,22,1
25,20,20,6,2
22,20,42,6,1
22,20,38,6,1
22,10,6,2,2
52,44,90,22,7
18,40,8,6,1
18,22,38,8,1
48,40,50,22,1
12,10,6,4,2
48,44,82,22,3
18,18,12,4,1
20,24,32,6,2
10,12,30,10,1
35,35,86,16,1
50,52,92,24,5
46,46,100,24,2
40,40,84,20,1
52,12,12,6,1
12,16,6,2,1
12,12,10,6,2
12,12,4,4,2
16,18,4,4,1
22,10,6,6,1
11,10,10,4,1
46,46,92,18,4
21,18,32,8,1
16,10,4,4,1
42,42,92,18,2
46,26,34,16,1
20,20,36,6,1
44,48,86,24,3
16,16,10,4,2
19,24,36,8,1
52,52,74,24,4
52,32,70,20,1
44,22,60,10,1
52,32,78,18,1
14,14,18,6,4
23,20,20,6,1
44,44,70,20,2
12,8,8,4,1
41,41,94,14,2
44,52,78,22,2
12,14,6,4,4
22,52,20,6,1
46,34,72,20,1
48,36,58,16,2
48,40,78,20,2
22,22,26,8,1
52,52,78,24,4
43,43,94,18,1
26,20,32,8,1
14,14,88,6,1
52,52,82,24,7
12,16,4,2,1
32,32,84,10,1
43,43,94,16,4
38,38,84,14,1
31,31,74,14,2
10,12,10,4,1
12,16,10,2,1
14,12,10,4,4
12,12,22,8,1
29,29,74,10,2
52,34,62,14,1
28,50,50,12,1
35,35,82,10,2
12,14,8,4,3
40,44,50,16,1
20,14,8,6,1
12,12,6,0,1
52,40,86,24,3
52,40,78,22,1
28,28,76,10,1
52,15,14,8,1
52,12,6,4,1
29,29,78,10,2
52,48,78,22,2
10,12,16,8,1
26,26,96,12,2
32,32,76,14,1
45,45,102,18,5
52,21,39,18,1
41,41,102,13,1
20,22,20,6,6
44,42,80,22,1
48,48,90,24,8
22,10,6,4,3
14,14,30,8,1
52,22,40,18,1
42,48,76,20,1
44,52,90,22,2
21,14,22,4,1
48,48,86,22,6
52,48,82,24,3
12,18,6,2,1
48,32,66,18,1
44,44,92,24,1
52,32,64,16,1
12,12,6,6,1
45,45,102,17,3
22,22,28,8,2
43,43,90,18,1
48,48,94,22,1
10,14,4,0,1
41,41,94,13,1
48,44,82,24,2
22,18,30,6,1
32,32,76,10,2
30,30,66,16,1
37,37,86,20,1
46,48,96,20,1
52,40,78,24,2
48,44,78,20,2
52,32,70,16,2
40,40,86,24,1
22,16,8,4,1
10,12,12,4,1
38,41,86,22,1
10,10,2,0,1
12,34,12,10,1
20,24,28,6,1
52,10,10,6,2
26,24,50,6,1
52,14,10,6,1
52,36,78,20,1
42,42,92,16,6
32,32,80,14,1
44,46,94,18,1
38,38,92,12,1
16,12,12,4,1
22,20,14,6,1
14,18,6,2,1
12,12,8,6,1
52,28,54,20,1
40,40,74,18,1
20,20,36,8,1
22,18,34,8,1
46,48,88,22,1
52,38,68,22,1
52,32,68,16,4
52,44,82,24,6
52,10,10,4,3
34,34,80,14,1
48,48,94,20,1
12,20,10,4,1
22,26,42,10,2
12,14,4,4,1
52,20,30,10,1
38,28,34,16,1
25,23,78,10,1
52,40,70,22,1
18,22,34,8,1
48,10,10,6,1
52,34,78,18,1
12,10,8,4,1
14,16,8,4,1
35,35,82,14,2
14,12,10,6,1
22,22,34,8,3
20,22,28,6,1
26,26,66,12,2
22,20,42,8,2
44,44,96,18,1
32,32,68,18,2
52,52,70,24,1
44,28,38,16,1
38,38,98,18,1
10,16,6,6,1
27,31,80,8,1
10,12,6,2,1
44,52,66,20,1
12,12,10,4,6
14,28,8,6,1
24,20,20,6,1
44,48,82,20,1
52,34,56,18,1
35,31,70,14,1
44,48,82,22,2
46,24,40,10,1
41,41,94,24,1
22,20,34,8,1
14,12,6,4,2
22,22,42,10,2
48,52,86,24,6
12,34,10,6,1
18,20,6,0,2
52,14,14,6,1
26,26,46,12,1
52,48,70,22,1
12,12,12,6,1
25,12,12,6,1
52,44,74,20,2
12,12,8,2,4
10,12,4,0,1
52,20,34,16,1
28,28,54,14,1
22,20,28,8,1
21,16,16,4,1
28,44,58,18,1
44,44,92,16,5
44,48,62,20,1
50,44,88,20,1
48,44,82,20,3
48,44,74,24,1
16,20,16,4,1
52,12,12,4,3
52,40,86,18,1
36,36,84,16,1
40,40,96,18,1
42,46,68,20,1
22,26,38,10,1
10,16,6,4,1
33,33,84,10,1
52,26,64,22,1
11,16,8,4,1
46,44,76,22,1
14,10,4,4,1
20,22,18,6,1
16,40,20,4,1
52,42,84,24,1
40,40,92,18,1
43,43,90,16,1
18,22,18,10,1
39,39,90,14,3
34,34,80,10,2
10,28,6,0,1
33,30,60,16,1
12,14,10,2,2
36,44,88,24,1
42,46,92,18,1
44,32,62,14,1
52,36,82,20,2
20,16,6,4,1
12,18,8,4,1
22,10,8,4,1
12,14,10,4,4
31,31,88,8,1
10,10,6,2,1
46,46,84,20,1
50,48,92,24,1
20,32,28,6,1
18,24,10,4,1
40,40,92,12,1
22,16,8,6,1
16,10,10,4,1
52,24,50,12,1
27,27,74,10,1
24,24,40,10,3
46,42,84,18,1
18,32,14,6,1
25,25,92,12,1
14,17,8,4,1
52,28,38,20,1
44,44,82,22,1
48,52,70,24,1
42,46,96,18,1
52,34,80,18,1
48,50,92,24,1
28,24,28,6,1
46,42,96,18,1
48,42,68,22,1
37,26,14,4,1
18,28,10,6,1
52,36,70,18,1
18,14,14,6,1
52,12,10,8,1
12,18,12,4,1
52,48,58,24,1
44,48,86,22,1
20,24,14,6,1
28,36,24,6,1
48,52,82,22,1
24,24,30,10,1
33,33,78,16,3
41,41,102,14,2
44,52,78,24,1
46,46,92,24,2
26,22,38,8,1
44,48,78,22,1
48,40,66,20,1
43,39,102,20,1
52,12,8,4,1
48,52,78,24,1
10,14,6,2,1
52,36,70,22,1
12,17,18,10,1
50,48,84,22,1
16,10,6,4,1
34,28,48,14,1
38,38,84,24,1
48,40,66,22,1
10,14,6,4,2
22,16,20,6,1
44,52,82,24,1
42,46,96,20,1
52,40,86,20,1
40,40,88,18,1
52,28,66,18,1
44,52,86,24,2
40,36,84,14,1
52,18,10,4,1
12,8,4,0,1
40,52,82,24,1
33,33,82,12,1
52,20,38,14,1
14,16,6,2,2
16,12,6,2,1
22,20,32,6,2
44,48,90,20,1
22,24,38,6,1
22,24,36,6,1
20,18,16,6,1
46,44,92,16,1
46,38,80,14,1
39,27,50,12,1
34,34,90,8,1
44,48,78,24,1
12,10,4,4,1
20,24,32,8,1
22,16,12,4,1
39,39,86,20,1
52,44,86,22,3
12,24,12,4,1
50,40,28,22,1
52,22,34,14,1
26,26,52,12,1
52,34,30,10,1
22,15,18,4,1
52,13,11,10,1
48,36,66,20,1
20,20,40,8,1
18,22,14,6,1
12,48,10,4,1
39,39,96,13,1
14,14,8,6,1
48,52,86,22,1
48,44,94,22,1
38,42,88,14,1
18,22,16,6,1
40,52,74,20,1
40,40,88,16,1
22,28,30,6,1
48,40,82,22,1
52,44,78,20,2
26,18,34,10,1
16,16,6,2,1
40,40,92,14,1
52,48,58,22,1
14,12,44,8,1
52,14,20,18,1
26,22,32,8,2
52,22,40,14,1
20,22,6,0,1
37,37,82,10,1
13,10,10,4,1
20,18,36,8,1
12,12,4,0,2
52,12,10,4,1
20,22,6,2,2
20,24,20,6,1
40,44,92,24,1
33,41,94,14,1
23,22,28,8,1
37,37,86,16,1
26,24,38,10,1
20,22,32,6,1
52,28,50,12,1
52,34,74,18,1
14,22,14,4,1
25,22,56,8,1
22,8,6,4,1
22,34,42,8,1
12,17,6,2,1
52,16,26,14,1
44,44,94,24,1
48,26,56,14,1
48,28,68,12,1
44,44,92,22,1
42,42,88,18,1
52,14,28,10,1
10,10,4,2,2
22,12,6,4,1
20,44,18,6,1
22,14,26,6,1
52,40,82,22,1
40,48,78,22,1
22,20,38,8,1
52,14,8,4,2
52,22,48,16,1
