fwd-ref,rev-ref,fwd-rev,core-ref,reads
22,8,8,8,55
52,24,40,12,25
22,18,18,6,50
52,28,54,16,24
44,46,84,30,1
18,18,18,6,20
52,32,68,20,8
22,20,44,12,22
52,26,52,14,4
52,44,90,30,8
52,38,84,26,5
25,10,54,10,1
48,46,92,26,1
11,6,4,4,1
22,12,12,4,2
52,40,86,28,6
52,46,92,30,5
52,26,50,14,6
52,36,80,24,1
52,36,82,24,4
22,18,42,12,11
22,10,10,4,3
22,14,14,6,6
52,36,80,22,1
52,50,96,30,31
45,20,20,8,1
22,6,6,4,1
52,30,66,18,1
41,24,40,12,1
22,6,6,6,1
42,14,14,6,1
52,28,54,14,4
52,42,88,26,16
52,52,98,30,12698
22,22,46,12,9102
52,34,76,20,3
12,12,18,8,1
52,52,94,30,363
10,12,6,4,37
52,10,8,4,2
25,22,32,12,6
34,34,80,22,3
23,22,32,12,39
48,52,94,28,34
48,52,94,30,91
52,48,94,30,45
22,18,38,10,14
22,22,42,12,150
52,46,88,30,1
52,48,94,28,133
24,22,32,14,1
24,22,46,14,1
10,12,4,4,11
46,46,100,24,76
52,36,78,28,1
38,38,88,16,3
14,8,4,4,1
48,48,98,26,50
25,21,78,11,24
46,44,98,24,1
23,20,30,12,1
22,22,32,12,69
46,46,96,24,121
44,44,98,22,1
21,12,8,6,1
44,52,90,30,11
52,44,86,26,7
22,10,10,8,3
52,44,90,28,8
52,42,84,26,2
52,52,86,30,28
52,30,62,18,1
22,20,20,10,67
16,12,8,4,3
52,52,90,30,77
22,18,18,8,9
38,38,88,18,1
10,12,8,4,10
22,18,42,10,47
48,52,90,30,34
27,27,70,16,3
40,30,102,18,4
20,18,16,8,1
26,26,72,14,1
52,32,62,22,2
25,24,44,12,1
52,22,50,16,1
44,22,12,4,1
18,22,18,6,36
10,16,8,4,1
52,48,90,28,32
22,20,36,10,4
26,22,42,14,10
52,30,56,16,11
37,37,86,15,1
12,10,6,4,3
22,22,30,12,2
34,28,62,18,2
10,10,8,8,1
36,36,84,18,3
14,14,6,4,1
22,24,42,10,1
48,48,94,30,14
52,48,86,30,5
22,14,10,6,3
22,24,46,12,34
44,44,92,22,10
11,12,8,4,1
48,48,86,28,9
44,36,78,26,1
10,16,4,4,1
44,42,74,30,1
52,30,58,16,2
22,16,16,6,3
52,30,72,22,1
38,38,92,20,1
21,20,20,10,12
12,14,6,4,5
22,22,42,10,8
52,46,72,28,1
12,12,6,4,12
52,48,70,30,1
48,52,90,28,11
10,14,4,4,5
44,44,96,22,10
48,48,98,30,26
48,46,80,28,1
44,44,78,26,1
22,16,16,8,1
30,26,52,14,1
42,42,92,20,10
20,20,20,10,3
39,39,86,20,3
18,22,14,6,3
52,40,74,26,1
52,12,10,8,3
52,44,90,26,9
22,12,8,4,1
10,12,4,2,2
10,24,12,8,1
14,14,60,8,1
52,24,58,20,1
52,8,8,8,2
52,24,30,16,1
44,52,78,26,1
45,45,94,23,23
20,20,6,4,24
22,18,38,8,1
22,22,38,10,4
33,29,74,14,1
12,28,10,4,1
46,28,52,20,1
14,14,10,8,1
52,46,92,28,2
48,48,82,30,3
14,12,10,8,2
22,16,24,6,1
43,43,94,21,12
12,12,12,4,1
24,24,34,14,5
42,42,100,20,3
52,32,74,22,1
50,40,76,24,1
14,22,16,8,1
22,20,18,6,1
48,44,86,26,4
10,10,4,4,2
22,22,34,10,1
48,52,82,30,2
52,30,60,16,6
52,38,84,24,2
52,16,10,4,2
40,40,94,18,2
22,22,38,12,11
20,24,36,10,1
43,43,90,21,4
22,14,6,4,1
41,41,90,19,2
22,18,22,8,1
48,48,98,28,3
52,40,74,28,1
22,16,18,8,1
29,29,82,11,1
36,16,14,6,1
48,48,82,28,5
46,34,68,18,1
39,43,86,21,1
52,34,48,24,1
52,40,78,26,1
40,28,58,18,1
48,40,90,24,1
52,44,82,26,3
52,30,66,16,7
26,26,80,14,1
52,8,8,4,1
14,14,8,4,1
13,12,8,6,1
15,14,10,6,1
10,18,8,4,2
46,42,88,22,1
44,44,96,30,8
52,44,66,30,1
14,14,18,6,1
52,32,74,24,1
14,14,10,4,2
50,50,96,30,6
52,48,86,28,11
22,16,16,10,2
50,52,96,30,10
36,36,88,14,4
14,16,12,4,1
52,48,78,30,1
44,52,90,28,3
22,12,8,6,2
43,39,90,19,1
40,40,98,18,2
10,10,6,4,2
52,44,82,28,7
39,35,78,22,1
48,52,78,28,2
52,48,90,30,16
22,12,12,8,1
22,20,20,6,1
48,30,54,18,1
52,26,52,12,1
22,12,12,6,4
52,34,72,20,4
50,48,92,28,2
52,48,82,28,2
27,20,20,10,1
52,44,86,28,2
52,44,74,26,3
31,31,78,12,1
12,12,8,4,18
44,52,86,28,1
50,44,68,26,1
48,48,90,28,15
10,18,6,6,1
52,34,60,24,1
18,22,18,8,2
48,48,78,28,2
37,37,88,15,1
52,40,82,26,2
52,30,64,16,13
16,18,6,4,1
20,22,36,10,7
39,39,94,17,2
44,32,22,18,1
50,44,84,28,1
25,20,20,10,2
10,12,8,8,1
22,20,42,10,3
22,20,38,10,1
22,10,6,4,5
18,40,8,6,1
18,22,38,10,1
48,40,50,28,1
48,44,82,28,4
18,18,12,6,1
20,24,32,10,3
10,12,30,10,1
35,35,86,20,1
50,52,92,30,5
46,46,100,30,1
40,40,84,24,1
52,12,12,6,2
12,16,6,4,1
12,12,10,8,2
12,12,4,4,5
16,18,4,4,1
22,10,6,6,1
11,10,10,4,1
22,24,42,12,11
46,46,92,24,4
21,18,32,12,1
16,10,4,4,1
46,26,34,16,1
20,20,36,8,2
44,48,86,28,3
16,16,10,4,2
19,24,36,8,1
52,52,74,30,4
52,32,70,22,1
44,22,60,10,1
52,32,78,20,1
14,14,18,8,4
23,20,20,10,1
44,44,70,24,1
12,8,8,4,1
41,41,94,19,3
44,52,78,28,2
22,52,20,10,1
46,34,72,24,1
48,36,58,20,2
48,40,78,24,2
22,22,26,10,1
52,52,78,30,4
22,10,10,6,2
26,20,32,12,1
