type,outcome,reads
alignment scores,0,0
alignment scores,1,0
alignment scores,2,0
alignment scores,3,0
alignment scores,4,0
alignment scores,5,0
alignment scores,6,0
alignment scores,7,0
alignment scores,8,0
alignment scores,9,0
alignment scores,10,0
alignment scores,11,0
alignment scores,12,0
alignment scores,13,0
alignment scores,14,0
alignment scores,15,0
alignment scores,16,0
alignment scores,17,0
alignment scores,18,0
alignment scores,19,0
alignment scores,20,0
alignment scores,21,0
alignment scores,22,0
alignment scores,23,0
alignment scores,24,0
alignment scores,25,0
alignment scores,26,0
alignment scores,27,0
alignment scores,28,0
alignment scores,29,0
alignment scores,30,0
alignment scores,31,0
alignment scores,32,0
alignment scores,33,0
alignment scores,34,0
alignment scores,35,0
alignment scores,36,1
alignment scores,37,0
alignment scores,38,0
alignment scores,39,0
alignment scores,40,0
alignment scores,41,0
alignment scores,42,0
alignment scores,43,0
alignment scores,44,46
alignment scores,45,1
alignment scores,46,19
alignment scores,47,6
alignment scores,48,14
alignment scores,49,7
alignment scores,50,27
alignment scores,51,27
alignment scores,52,20
alignment scores,53,45
alignment scores,54,23
alignment scores,55,32
alignment scores,56,25
alignment scores,57,24
alignment scores,58,38
alignment scores,59,12
alignment scores,60,27
alignment scores,61,193
alignment scores,62,22
alignment scores,63,38
alignment scores,64,9183
alignment scores,65,69
alignment scores,66,32
alignment scores,67,72
alignment scores,68,172
alignment scores,69,12
alignment scores,70,16
alignment scores,71,3
alignment scores,72,16
alignment scores,73,25
alignment scores,74,13
alignment scores,75,4
alignment scores,76,6
alignment scores,77,1
alignment scores,78,10
alignment scores,79,2
alignment scores,80,6
alignment scores,81,2
alignment scores,82,9
alignment scores,83,4
alignment scores,84,8
alignment scores,85,4
alignment scores,86,5
alignment scores,87,1
alignment scores,88,14
alignment scores,89,6
alignment scores,90,13
alignment scores,91,4
alignment scores,92,11
alignment scores,93,2
alignment scores,94,11
alignment scores,95,2
alignment scores,96,31
alignment scores,97,3
alignment scores,98,14
alignment scores,99,19
alignment scores,100,9
alignment scores,101,1
alignment scores,102,72
alignment scores,103,1
alignment scores,104,16
alignment scores,105,12
alignment scores,106,9
alignment scores,107,5
alignment scores,108,38
alignment scores,109,1
alignment scores,110,17
alignment scores,111,3
alignment scores,112,32
alignment scores,113,3
alignment scores,114,28
alignment scores,115,1
alignment scores,116,41
alignment scores,117,25
alignment scores,118,41
alignment scores,119,0
alignment scores,120,248
alignment scores,121,5
alignment scores,122,4
alignment scores,123,1
alignment scores,124,195
alignment scores,125,11
alignment scores,126,12
alignment scores,127,0
alignment scores,128,406
alignment scores,129,35
alignment scores,130,0
alignment scores,131,0
alignment scores,132,13276
lost reads,Poor Alignment,10433
lost reads,Length Mismatch,4115
lost reads,Index Mismatches,0
